index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
898,"$95,000",2019,Conflict,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Victims of conflict and war,"Continuing support; Policy, advocacy and systems reform; Program support",Cash grants,Ploughshares Fund,"San Francisco, CA United States",Atlantic Council of the U S Inc,"Washington, DC United States","To support a series of dialogues with South Asian journalists, social media representatives, and policymakers to discuss the role of media in conflict and national narratives in Pakistan and India. Conflict Resolution; Peacebuilding",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
899,"$94,150",2019,,1 year,,"Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Texas Public Radio,"San Antonio, TX United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
900,"$93,600",2019,,1 year,,"Journalism, news and information; Investigative journalism; Journalism education",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States","Quartz Media, Inc.","New York City, NY United States",To put artificial intelligence reporting methods into the hands of more journalists through collaborative,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
901,"$92,564",2019,,1 year,,"Journalism, news and information; Investigative journalism",Artists and performers,General support,Cash grants,"Network for Good, Inc.","Washington, DC United States",Type Media Center,"New York City, NY United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
902,"$92,500",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Raise Your Hand for Public Schools,"Austin, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",General operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
903,"$91,327",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Low-income people,General support,Cash grants,Community Foundation of Acadiana (CFA),"Lafayette, LA United States",Catholic Charities of Acadiana Inc,"Lafayette, LA United States","General support, Opus Christi Magnum",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
904,"$91,000",2019,,1 year,,"Journalism, news and information; Investigative journalism; Advocacy journalism",Not Specified,General support,Cash grants,Jewish Community Foundation of San Diego,"San Diego, CA United States",Voice of San Diego,"San Diego, CA United States",General,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
905,"$90,000",2019,Journalism and Media,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Technical assistance,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Northwestern University - School of Communications,"Evanston, IL United States",In support of a planning process for OTV.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
906,"$90,000",2019,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",Adults,Not Specified,Cash grants,Jonathan Logan Family Foundation,"Berkeley, CA United States",International Documentary Association,"Los Angeles, CA United States",Documentary That's How We Roll,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
907,"$90,000",2019,,3 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Immigrants and migrants; Indigenous peoples,Program support,Cash grants,MEYER MEMORIAL TRUST,"Portland, OR United States",Independent Publishing Resource Center Inc,"Portland, OR United States","To help fund 15 studio residencies for black, indigenous and people of color writers and visual artists",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
908,"$90,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,News Leaders Association Foundation Inc,"Columbia, MO United States",News Leaders Association,"Columbia, MO United States",SUPPORT FOR ORGANIZATION OPERATIONS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
909,"$90,000",2019,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Low-income people,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Seattle International Foundation,"Seattle, WA United States","For the Independent Journalism Fund's grantmaking to advance investigative reporting on impunity and corruption in Central America by independent media outlets, and for the 2019 Central America Donors Forum to foster best practices and network-building",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
910,"$88,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Equal access; Systems reform,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Magnum Cultural Foundation,"New York City, NY United States",To support the Grantee's educational work with photographers from the Middle East and North Africa in their Photography and Social Justice program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
911,"$88,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Wrongfully incarcerated people,"Policy, advocacy and systems reform; Public engagement and education; Publications",Cash grants,Open Society Institute,"New York City, NY United States",Anonymous Individual(s),"Durham, NH United States",To write a series of articles to explore and educate the public about the intersections between reproductive injustice and mass incarceration in the US South,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
912,"$87,201",2019,Creativity and Free Expression,3 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Immigrants,General support,Cash grants,The Ford Foundation,"New York City, NY United States",NEW SHUL,"Brooklyn, NY United States",Core support for the Center for New York City Affairs' Feet in 2 Worlds project to bring the work of immigrant journalists from communities across the U.S. to public radio and online news sites,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
913,"$86,896",2019,,1 year,,"Media Content and Platforms; Radio; Web-based media; Mobile media; Journalism, news and information; Journalism, news, and information, general",Adults,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CAPITAL PUBLIC RADIO INC,"Sacramento, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
914,"$86,850",2019,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Adults; Researchers; Activists,General support,Cash grants,"Network for Good, Inc.","Washington, DC United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
915,"$86,224",2019,,1 year,,"Journalism, news and information; Investigative journalism",Academics,"Policy, advocacy and systems reform; Program support; Public engagement and education",Cash grants,Foundation to Promote Open Society,"New York City, NY United States",CENTRAL EUROPEAN UNIVERSITY,"New York City, NY United States","To support Center for Media, Data and Society'S (CMDS) interdisciplinary, cross-national investigative reporting into the linkages between corruption and environmental damage along the Danube river",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
916,"$85,600",2019,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",Adults,General support,Cash grants,ImpactAssets,"Bethesda, MD United States",International Documentary Association,"Los Angeles, CA United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
917,"$85,000",2019,Professional Development,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Faculty and staff development,Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",Carole Kneeland Project,"Broomfield, CO United States","For News Director Leadership Forums, supporting news executives as they seek to become more effective leaders with better balanced lives",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
918,"$85,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Program support,Cash grants,Foundation for American Freedom,"Alexandria, VA United States",National Review Institute,"New York City, NY United States",Educate the public through investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
919,"$85,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Research,Cash grants,Thornburg Foundation,"Santa Fe, NM United States",NEW MEXICO FIRST,"Albuquerque, NM United States",Ethics commission research; independent journalism research,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
920,"$85,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Ethics and accountability; Public engagement and education; Systems reform,Cash grants,Wallace Global Fund II,"Washington, DC United States",Global Witness,Gabon,Support for work on government and corporate accountability,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
921,"$83,752",2019,,1 year,,"Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Schumann Media Center Inc,"New York City, NY United States",Democracy Now Productions Inc,"New York City, NY United States",Media,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
922,"$80,567",2019,,1 year,,"Journalism, news and information; Investigative journalism",Academics,Network-building and collaboration; Program support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",University of the Witwatersrand,"City of Johannesburg, South Africa",To support the Department of Journalism and Media Studies' African Investigative Journalism conference in 2019,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
923,"$80,350",2019,,1 year,,"Journalism, news and information; Advocacy journalism",Children and youth; Economically disadvantaged people; Women and girls; Victims of crime and abuse,Equal access; Outreach; Program support; Systems reform,Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Selah Freedom,"Sarasota, FL United States",Justice,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
924,"$80,000",2019,,1 year,,"Media Content and Platforms; Web-based media; Media applications and tools; Media applications and tools, general; Media access and policy; Media literacy; Journalism, news and information; Investigative journalism; Constituency journalism; Citizen journalism; Advocacy journalism",Not Specified,Recordings and broadcasts; Program support; Public engagement and education; Online media,Cash grants,Alumbra Innovations Foundation,"Bentonville, AR United States",Leadership for Energy Automated Processing,"Tuckahoe, NY United States",Aquaculure media startegy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
925,"$80,000",2019,,1 year,,"Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Betty Stieren Kelso Foundation,"San Antonio, TX United States",Texas Public Radio,"San Antonio, TX United States",Charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
926,"$80,000",2019,Rights & Governance,2 years,,"Media access and policy; Open government; Journalism, news and information; Investigative journalism",Academics; Adults,Ethics and accountability; Fiscal sponsorships; Research,Cash grants,C S Fund,"Petaluma, CA United States",National Security Archive Fund Inc,"Washington, DC United States",Freedom of Information Project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
927,"$80,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics; Military personnel; Activists; Emergency responders,Audience development; Recordings and broadcasts,Cash grants,Colombe Peace Foundation,"Boston, MA United States",The Henry L. Stimson Center,"Washington, DC United States",To support Things that Go Boom and Inkstick to expand to reach more millennial focused media outlets beyond the beltway,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
928,"$80,000",2019,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Adults; Researchers; Activists,Not Specified,Cash grants,Inasmuch Foundation,"Oklahoma City, OK United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",Legal Fellow,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
929,"$80,000",2019,,1 year,,"Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Capital campaigns,Cash grants,Joan and Herb Kelleher Charitable Foundation,"San Antonio, TX United States",Texas Public Radio,"San Antonio, TX United States",Capital campaign paid pledge in full,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
930,"$80,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth,Not Specified,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Eugene O'neill Memorial Theater Center Inc,"Waterford, CT United States","To offer mid-career journalists within knight cities, who meet the rigorous standard for",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
931,"$80,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Convening,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The University of Texas at Austin,"Austin, TX United States",To advance journalism innovation by supporting an annual international symposium that,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
932,"$80,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Network-building and collaboration,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Online News Association,"Washington, DC United States",To support the 2019 and 2020 online news association conferences and two key programs for,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
933,"$80,000",2019,,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Recordings and broadcasts,Cash grants,Lloyd a Fry Foundation,"Chicago, IL United States",Window to the World Communications Inc,"Chicago, IL United States",For Chicago Tonight,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
934,"$80,000",2019,Pivotal Place: Western Balkans Program,2 years,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Center for Investigative Journalism of Serbia,"Beograd, Serbia",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
935,"$80,000",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Sarah Scaife Foundation Incorporated,"Pittsburgh, PA United States",Student Free Press Association,"Hillsdale, MI United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
936,"$80,000",2019,Beyond Current Program Structure; Natural Resources and Climate Change,1 year,,"Journalism, news and information; Journalism, news, and information, general",Indigenous peoples; People of African descent,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Blogosfera Producciones S.A.S,"Bogotá, Colombia","For media coverage and discussion outlets for Afro-descendant, indigenous and academic leaders focusing on the causes, manifestations and consequences of territorial and economic polarization",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
937,"$80,000",2019,Education/K-12 Teaching and Learning; Philanthropy/OE/DEI,1 year,"For Support of Organizational Diversity, Equity and Inclusion Capacity to Advance Educational Equity","Journalism, news and information; Journalism, news, and information, general",Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",Civic News Company,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
938,"$80,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Children and youth; Victims of crime and abuse,Not Specified,Cash grants,United Way of St Charles,"Boutte, LA United States",Child Advocacy Services Inc.,"Hammond, LA United States",See attached.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
939,"$79,600",2019,,1 year,,"Journalism, news and information; Constituency journalism",Teachers,Advocacy; Equal access; Grantee relations; Systems reform,Cash grants,Open Society Action Fund,"New York City, NY United States",Shikshak Masik,"Lalitpur, Nepal",To support the grantee's work on policy awareness,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
940,"$79,500",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Systems reform; Ethics and accountability,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Centre for Investigative Journalism (nepal),"Kathmandu, Nepal","To support 'promoting Investigative Journalism in Nepal 2019-2021' to inform and educate the public by producing investigative reports, capacitate investigative journalists, and strengthen their regional and international networks",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
941,"$79,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Magnum Cultural Foundation,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
942,"$78,774",2019,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults,Recordings and broadcasts; General support,Cash grants,SACRAMENTO REGION COMMUNITY FOUNDATION,"Sacramento, CA United States",CAPITAL PUBLIC RADIO INC,"Sacramento, CA United States",Operating fund; capital campaign fund; beth ruyak's show; news programming; fact-based journalism; sponsorship for from the top radio series; support classical music and news; unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
943,"$77,290",2019,U.S. Program,1 year,New York Public Radio,"Journalism, news and information; Journalism, news, and information, general",Low-income people,Recordings and broadcasts,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",New York Public Radio,"New York City, NY United States",to support the creation of a broadcast radio news report on how evictions create a barrier to economic mobility and opportunity,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
944,"$76,450",2019,,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Ideastream,"Cleveland, OH United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
945,"$76,000",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Community Foundation for Greater Atlanta,"Atlanta, GA United States",ArtsATL,"Atlanta, GA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
946,"$76,000",2019,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Sexual identity; Victims and oppressed people; Immigrants and migrants; Economically disadvantaged people,General support,Cash grants,The Community Foundation-Boulder County,"Boulder, CO United States",BOULDER COMMUNITY BROADCAST ASSOCIATION INCORPORATED,"Boulder, CO United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
947,"$75,100",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Online News Association,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
948,"$75,000",2019,Empathy Building,3 years,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Acton Family Giving,"Palo Alto, CA United States",Magnum Cultural Foundation,"New York City, NY United States","General support, $75,000 per year for three years",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
949,"$75,000",2019,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Network-building and collaboration; Equal access,Cash grants,Alfred P. Sloan Foundation,"New York City, NY United States",PRX INCORPORATED,"Brighton, MA United States","To support a one-day symposium on the emerging systemic threats to the openness of podcasting, including corporate consolidation and data privacy",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
950,"$75,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,Amalgamated Charitable Foundation Inc,"Washington, DC United States",Center For Third World Organizing (CTWO),"New York City, NY United States",This grant is for fiscally sponsored project Black Land and Power Project.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
951,"$75,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,Not Specified,Cash grants,Brown Foundation,"Palm Beach, FL United States",MARSHALL PROJECT INC,"New York City, NY United States",Nonprofit journalism about criminal justice,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
952,"$75,000",2019,,1 year,,"Journalism, news and information; Investigative journalism; Constituency journalism; Advocacy journalism; Journalism education",Not Specified,Program support,Cash grants,Catena Foundation,"Carbondale, CO United States",TEXAS TRIBUNE INC,"Austin, TX United States",Environment - journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
953,"$75,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Charles E Scheidt Family Foundation,"Wilmington, DE United States","PRO Publica, Inc.","New York City, NY United States",General & unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
954,"$75,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,COMMUNITY FOUNDATION OF NEW JERSEY,"Morristown, NJ United States",Civic News Company,"New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
955,"$75,000",2019,Solicited,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism; Constituency journalism",Not Specified,Recordings and broadcasts; Public engagement and education; Equal access; Systems reform,Cash grants,Connecticut Health Foundation Inc,"Hartford, CT United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States","To support The Mirror’s health policy coverage through dedicated, policy-oriented enterprise reporting that explains and deepens reader understanding of complex, systemic, and pervasive challenges while highlighting emerging opportunities and innovative solutions. Grant objectives include: 1) increase readership of health care reporting by 30%; 2) deepen reader understanding of health care reporting and health care topics as measured through the Metrics for News Engagement Index, readership of “5 Things,” and a self-reported reader survey. Grant funding will primarily support The Mirror’s journalists including a dedicated health reporter, state budget reporter, Washington, D.C. Reporter who focuses on Connecticut, and a data reporter.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
956,"$75,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,David and Katherine Moore Family Foundation,"Rye Brook, NY United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States",For general support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
957,"$75,000",2019,,1 year and 4 months,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",American Indians,Program support,Cash grants,Democracy Fund Inc,"Washington, DC United States",Native American Journalists Association,"Norman, OK United States","This project grant will support the Native American Journalists Association Red Press Initiative focused on supporting and defending press freedom in Indian Country. Specifically, this grant will enable the Native American Journalists Association to expand the Red Press Initiative Task Force to spread trainings and resources to tribal and local newsrooms across the country.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
958,"$75,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,General support,Cash grants,Donald a Pels Charitable Trust Utd 8/18/92 C/o Pkf O'connor Davies,"Harrison, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
959,"$75,000",2019,Public Policy,1 year,General Operating Support,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Dyson Foundation,"Millbrook, NY United States","PRO Publica, Inc.","New York City, NY United States",For general operating support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
960,"$75,000",2019,Investigative Reporting,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Faculty and staff development; Program expansion,Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",Carolina Public Press Inc,"Asheville, NC United States",Expand reporting capacity by recruiting and training dedicated reporting staff across the state,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
961,"$75,000",2019,Special Opportunities,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults,"Policy, advocacy and systems reform; Convening; Public engagement and education",Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",National Press Club Journalism Institute,"Washington, DC United States","For two Kalb Report forums on accuracy, fairness, ethics, leadership, press freedom and the overall roles and responsibilities of news organizations in a digital age",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
962,"$75,000",2019,Investigative Reporting,1 year,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,Individual development,Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",Fund for Investigative Journalism Inc,"Washington, DC United States",Provide grants to independent investigative reporters; and to encourage diversity in the field of investigative reporting,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
963,"$75,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Young adults,Capacity-building and technical assistance; Regranting,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Society of Environmental Journalists,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
964,"$75,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Fellowships,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Carey Institute for Global Good Inc,"Rensselaerville, NY United States",To provide fellowships for journalists to allow them to complete longform projects,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
965,"$75,000",2019,,1 year,,"Journalism, news and information; Constituency journalism",Not Specified,General support,Cash grants,G II Charities,"Grand Rapids, MI United States",YOUTH FOR CHRIST INTERNATIONAL,"Englewood, CO United States",General operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
966,"$75,000",2019,,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Ethnic and racial groups,General support,Cash grants,Gaia Fund,"San Francisco, CA United States",ISSUE ONE,"Washington, DC United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
967,"$75,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Gates Family Foundation,"Denver, CO United States",Civic News Company,"New York City, NY United States",Project Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
968,"$75,000",2019,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Gates Family Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",Project Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
969,"$75,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Artists and performers,Outreach,Cash grants,Gould Family Foundation,"WESTPORT, CT United States",Type Media Center,"New York City, NY United States",Support annual lecture in honor of Jonathan Schell,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
970,"$75,000",2019,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Adults,Public engagement and education,Cash grants,Inasmuch Foundation,"Oklahoma City, OK United States",National Press Club Journalism Institute,"Washington, DC United States",The Kalb Report,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
971,"$75,000",2019,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Ingram-White Castle Foundation,"Columbus, OH United States",Wosu Public Media,"Columbus, OH United States",Arts and humanities,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
972,"$75,000",2019,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Jacques M Littlefield Foundation,"Menlo Park, CA United States",Colorado Public Radio,"Centennial, CO United States",Wysick fellowships,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
973,"$75,000",2019,,1 year,,"Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",To test and measure the impact of journalism engagement tools used by news organizations to,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
974,"$75,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",CENTER FOR NEW DEMOCRATIC PROCESSES,"St Paul, MN United States","To support collaborative, community-driven journalism in northeast ohio through",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
