index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
1222,"$100,000",2022,Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Fellowships,Cash grants,East Bay Community Foundation,"Oakland, CA United States",Uc Berkeley Graduate School of Journalism Fs Uc Berkeley Foundation,"Berkeley, CA United States",The UC Berkeley Graduate School of Journalism for the Helzel Fellows,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1223,"$100,000",2022,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; General support,Cash grants,EPISCOPAL HEALTH FOUNDATION,"Houston, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",Program Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1224,"$100,000",2022,,1 year,,"Telecommunications infrastructure; Internet access; Media access and policy; Media democracy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Low-income people,"Equal access; Policy, advocacy and systems reform",Cash grants,Fiduciary Charitable Foundation,"Boston, MA United States",Free Press,"Washington, DC United States",DONATIONS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1225,"$100,000",2022,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,FJC - A Foundation of Donor Advised Funds,"New York City, NY United States",Afterimage Public Media,"San Francisco, CA United States",UNRESTRICTED GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1226,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,FJC - A Foundation of Donor Advised Funds,"New York City, NY United States","International Center for Journalists, Inc.","Washington, DC United States",UNRESTRICTED GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1227,"$100,000",2022,,1 year,,"Media access and policy; Media justice; Journalism, news and information; Investigative journalism",Ethnic and racial groups; Low-income people,General support,Cash grants,Geraldine R. Dodge Foundation,"Morristown, NJ United States",The Futuro Media Group,"New York City, NY United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1228,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,Give Forward Foundation,"San Francisco, CA United States",The Good Information Foundation,"New York City, NY United States",FOR EDUCATION COVERAGE IN SUPPORT OF THE CIVIC NEWS INITIATIVE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1229,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Good Words Foundation,"Washington, DC United States",Center for Public Integrity,"Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1230,"$100,000",2022,New Work Exploration,1 year,,"Media Content and Platforms; Print; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Network-building and collaboration; Equal access,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Free Press,"Washington, DC United States",in support of its Media Power Collaborative project.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1231,"$100,000",2022,New Work Exploration,10 months,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Conferences and exhibitions; Network-building and collaboration,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States",in support of the Lenfest-Aspen Local News Summit.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1232,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Academics,Online media; Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",NEW YORK UNIVERSITY,"New York City, NY United States","TO CREATE A CENTRALIZED DIGITAL PLATFORM AND NEWSLETTER TO SCALE BEST PRACTICES, NEW KNOWLEDGE, AND LESSONS LEARNED IN APPLYING AI IN JOURNALISM.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1233,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults,Audience development; Program support; Public engagement and education,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",SOUTHERN CALIFORNIA PUBLIC RADIO,"Pasadena, CA United States","TO INCREASE AUDIENCE LOYALTY AND GROW MEMBERSHIP FOR THREE PUBLIC MEDIA NEWS ORGANIZATIONS (WBEZ, WBUR & MPR) BY SUPPORTING AN AUDIENCE ENGAGEMENT & TECHNOLOGY APPRENTICESHIP PROGRAM DEVELOPED BY SCPR.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1234,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,"Policy, advocacy and systems reform; Outreach; Capacity-building and technical assistance",Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States","International Center for Journalists, Inc.","Washington, DC United States","THIS GRANT WILL GO TOWARD SUPPORTING ICFJ'S EFFORTS TO PROTECT JOURNALISTS COVERING THE WAR IN UKRAINE, AND TO INCREASE TRANSLATION EFFORTS TO BETTER REACH RUSSIAN-SPEAKING AUDIENCES.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1235,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Network-building and collaboration,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Center for Public Integrity,"Washington, DC United States","TO EXECUTE TRANSFER OF ACCOUNTABILITY PROJECT TECH PLATFORM FROM THE INVESTIGATIVE REPORTING WORKSHOP TO CPI, RAISE AWARENESS OF THE TOOL AMONG LOCAL NEWS ORGANIZATIONS TO DRIVE ADOPTION AND USE, AND DEVELOP AND EXECUTE A SUSTAINABLE BUSINESS PLAN.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1236,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Research,Cash grants,Just Human Productions Inc,"New York City, NY United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States","TO BE A SOURCE FOR HEALTH POLICY RESEARCH, POLLING, AND JOURNALISM",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1237,"$100,000",2022,democracy-and-civil-liberties,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Lisa & Douglas Goldman Fund,"San Francisco, CA United States",The American Independent,"WASHINGTON, DC United States","To deliver news through locally-branded print newspapers with non-partisan, local, national, political, and non-political content.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1238,"$100,000",2022,,1 year,,"Media access and policy; Open government; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Luminate Foundation Inc,"Washington, DC United States",Outriders,"Warszawa, Poland",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1239,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,Not Specified,Cash grants,Maverick Capital Foundation,"Dallas, TX United States",MARSHALL PROJECT INC,"New York City, NY United States",SOCIAL SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1240,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",Telluride Foundation,"Telluride, CO United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1241,"$100,000",2022,Independent Journalism Program,1 year and 6 months,Journalism,"Journalism, news and information; Investigative journalism",Not Specified,Convening; Equal access,Cash grants,Open Society Foundation,"New York City, NY United States",Institute of International Education,"New York City, NY United States","To support the Independent Journalism Travel and Learning fund that supports individuals within media organizations to participate in conferences, convenings, network building, and peer-to-peer knowledge sharing opportunities",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1242,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Recordings and broadcasts; Public engagement and education; Program support,Cash grants,Park Foundation Inc,"Ithaca, NY United States",Independent Television Services Inc,"San Francisco, CA United States",ITVS DOCUMENTARY DESK,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1243,"$100,000",2022,,1 year,,"Journalism, news and information; Constituency journalism",Not Specified,Program support; General support,Cash grants,Polk Bros Foundation,"Chicago, IL United States",Wbez Chicago Public Radio,"CHICAGO, IL United States",Special Projects,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1244,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Students; Ethnic and racial groups; Military personnel; Veterans,General support,Cash grants,Price Philanthropies Foundation,"La Jolla, CA United States",inewsource,"San Diego, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1245,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Public engagement and education,Cash grants,Public Welfare Foundation,"Washington, DC United States",American University,"Washington, DC United States",Support for the WAMU/DCist newsroom to further develop and expand their criminal justice reporting hub.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1246,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Public engagement and education,Cash grants,Public Welfare Foundation,"Washington, DC United States",Lost Light Projects Incdba Inside Climate News,"Brooklyn, NY United States","Support to provide reporting and analysis on climate, energy and the environment news.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1247,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Saint Lukes Foundation of Cleveland Ohio,"Cleveland, OH United States",American Journalism Project Inc,"Washington, DC United States",OPERATING SUPPORT FOR SIGNAL CLEVELAND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1248,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism; Advocacy journalism",Not Specified,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",The Consortium for Independent Journalism Inc,"Arlington, VA United States",Arts & Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1249,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Adults,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",Arts & Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1250,"$100,000",2022,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",Adults,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",International Documentary Association,"Los Angeles, CA United States",Arts & Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1251,"$100,000",2022,,1 year,,"Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; People with disabilities; Substance abusers; Economically disadvantaged people; Immigrants and migrants,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",San Francisco Public Press,"San Francisco, CA United States",Arts & Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1252,"$100,000",2022,,2 years,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Solidarity Giving,"Palo Alto, CA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States","general support, $100,000 per year for two years",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1253,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Systems reform; Program support; Research,Cash grants,Stephen M Silberstein Foundation,"Belvedere Tiburon, CA United States",Washington Monthly Institute,"Washington, DC United States",OFFER INNOVATIVE SOLUTIONS TO GET THE BEST PEOPLE TO WORK FOR THE GOVERNMENT AND THE BEST GOVERNMENT FOR THE PEOPLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1254,"$100,000",2022,,1 year,,"Journalism, news and information; Constituency journalism",Ex-offenders; Offenders,Program support,Cash grants,The Char and Chuck Fowler Family Foundation,"Cleveland, OH United States",MARSHALL PROJECT INC,"New York City, NY United States",ELEVATING CRIMINAL JUSTICE THROUGH LOCAL JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1255,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Families; Indigenous peoples; Multiracial people; Economically disadvantaged people; Victims and oppressed people,General support,Cash grants,The Christensen Fund,"San Francisco, CA United States",Indij Public Media,"Phoenix, AZ United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1256,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adolescents; Children and youth; Adults,General support,Cash grants,The Clifford Family Foundation Charitable Trust C/o Daniel Carbonneau,"Boston, MA United States",Youth Radio,"Oakland, CA United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1257,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism education",Adults; Children and youth; Family relationships; Ethnic and racial groups,Program support,Cash grants,The Community Foundation for Northeast Florida,"Jacksonville, FL United States",WJCT INC,"Jacksonville, FL United States",THE LOCAL JOURNALISM INITIATIVE AT WJCT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1258,"$100,000",2022,,1 year,,"Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Program support; General support,Cash grants,The Ewing Halsell Foundation,"San Antonio, TX United States",Texas Public Radio,"San Antonio, TX United States",Program Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1259,"$100,000",2022,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,The Fine and Greenwald Foundation C/o Marsha Soffer,"Miami, FL United States",The American Independent Foundation,"Washington, DC United States",MEDIA,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1260,"$100,000",2022,Natural Resources and Climate Change; Civic Engagement and Government,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Reporters Sans Frontieres,"Paris, France",To protect and strengthen local media ecosystems committed to climate justice in the Legal Amazon region,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1261,"$100,000",2022,Creativity and Free Expression,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Civic News Company,"New York City, NY United States",Core support for the Rebuild Local News Summit which is an effort for philanthropic leaders to chart ways to build local news ecosystems across the United States,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1262,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Work status and occupations,Not Specified,Cash grants,The Jaquish & Kenninger Foundation,"Austin, TX United States",Daily Caller News Foundation,"Washington, DC United States",PUBLIC INTEREST,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1263,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education,Cash grants,The Joyce Foundation,"Chicago, IL United States",EDUCATION WRITERS ASSOCIATION,"Washington, DC United States",Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1264,"$100,000",2022,,1 year,,"Journalism, news and information; Advocacy journalism",Adults; Ethnic and racial groups,"Policy, advocacy and systems reform; Public engagement and education",Cash grants,The Joyce Foundation,"Chicago, IL United States",CITY BUREAU NFP,"Chicago, IL United States",Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1265,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Ethics and accountability,Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States",OPEN SOURCE ELECTION TECHNOLOGY INSTITUTE,"Palo Alto, CA United States","ELECTION INTEGRITY, FACT CHECKING",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1266,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,General support,Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1267,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States","PRO Publica, Inc.","New York City, NY United States","FOR RENEWED SUPPORT, UNRESTRICTED",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1268,"$100,000",2022,Civic and Cultural,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Students; Children and youth,Program support,Cash grants,The Ralph M Parsons Foundation,"West Hollywood, CA United States",PBS SoCal,"Costa Mesa, CA United States",for support of Lost LA programming series,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1269,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,Not Specified,Cash grants,The Rock Foundation,"San Francisco, CA United States",EDSOURCE INC,"Oakland, CA United States",EDUCATIONAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1270,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Adults,Not Specified,Cash grants,The Rock Foundation,"San Francisco, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1271,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,"Program support; Policy, advocacy and systems reform",Cash grants,The Scripps Howard Foundation,"Cincinnati, OH United States",Elon University,"Elon, NC United States",Emerging Journalists Program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1272,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,"Program support; Policy, advocacy and systems reform",Cash grants,The Scripps Howard Foundation,"Cincinnati, OH United States",University of North Texas Foundation Inc,"Denton, TX United States",Emerging Journalists Program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1273,"$100,000",2022,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Sumners Foundation,"Irving, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",TRIBUNE EVENTS AND FESTIVAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1274,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Academics,"Program support; Policy, advocacy and systems reform; Public engagement and education",Cash grants,The Tow Foundation Inc,"New Canaan, CT United States",CRAIG NEWMARK GRADUATE SCHOOL OF JOURNALISM CUNY FOUNDATION INC,"New York City, NY United States",CRIMINAL JUSTICE REPORTING INITIATIVE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1275,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Not Specified,Cash grants,Thornburg Foundation,"Santa Fe, NM United States",New Mexico in Depth Inc,"Rio Rancho, NM United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1276,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Ex-offenders; Offenders,Not Specified,Cash grants,Timothy and Michele Barakett Foundation C/o Trb Advisors Lp,"New York City, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",DONATION TO NON-PROFIT NEWSROOM DEVOTED TO COVERAGE OF THE AMERICAN CRIMINAL JUSTICE SYSTEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1277,"$100,000",2022,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Trellis Foundation,"Round Rock, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",STRATEGIC,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1278,"$100,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Research,Cash grants,UNIVERSITY KIDNEY RESEARCH ORGANIZATION,"Los Angeles, CA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",KIDNEY DISEASE RESEARCH,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1279,"$100,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; General support,Cash grants,W.K. Kellogg Foundation,"Battle Creek, MI United States",New Mexico in Depth Inc,"Rio Rancho, NM United States","enable the organization to achieve its mission to produce investigative, data-rich stories and raise public consciousness and uplift community-driven solutions by providing general operating support",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1280,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,"Program support; Public engagement and education; Policy, advocacy and systems reform",Cash grants,Walton Family Foundation,"Bentonville, AR United States",Community Radio for Northern Colorado DBA Kunc,"Greeley, CO United States","To support water journalism and to increase journalism related to tribal water issues, in order to educate the public about these issues.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1281,"$100,000",2022,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Wellspring Philanthropic Fund,"New York City, NY United States",Reporters Sans Frontieres,"Paris, France",UKRAINE RESPONSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1282,"$100,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,William T Kemper Foundation,"Kansas City, MO United States",Public Television 19 Inc,"Kansas City, MO United States",CIVIC IMPACT JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1283,"$98,000",2022,,1 year,Journalism,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism; Constituency journalism",Not Specified,Recordings and broadcasts; Public engagement and education; Publications,Cash grants,Alliance for Open Society Int'l Inc,"New York City, NY United States",Eurasianet Inc,"New York City, NY United States",To support reporting on thematic issues related to Ukraine,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1284,"$98,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Students; Ethnic and racial groups; Military personnel; Veterans,General support,Cash grants,Jewish Community Foundation of San Diego,"San Diego, CA United States",inewsource,"San Diego, CA United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1285,"$97,551",2022,,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",Ideastream,"Cleveland, OH United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1286,"$97,400",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support; Program support,Cash grants,John T Gorman Foundation,"Portland, ME United States",Maine Community Integration,"Lewiston, ME United States","$26,400 Lewiston Youth Journalism Project; $71,000 for general operating support",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1287,"$97,250",2022,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,National Philanthropic Trust,"Jenkintown, PA United States","Committee to Protect Journalists, Inc.","New York City, NY United States","PUBLIC, SOCIETAL BENEFIT",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1288,"$97,076",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Domestic workers,"Travel awards; Policy, advocacy and systems reform; Publications",Cash grants,Ccai,"Centennial, CO United States",Multiple EAST ASIA AND THE PACIFIC Recipients,,To support LOCC Centers and the Nannies,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1289,"$96,000",2022,,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Ethnic and racial groups,Not Specified,Cash grants,Vanguard Charitable,"Malvern, PA United States",ISSUE ONE,"Washington, DC United States",For recipient's exempt purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1290,"$95,250",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Network-building and collaboration,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States","Journalism Development Network, Inc.","Washington, DC United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1291,"$95,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of Asian descent,Capacity-building and technical assistance,Cash grants,California Community Foundation,"Los Angeles, CA United States",Asian American Journalists Association,"Washington, DC United States",CIVIC ENGAGEMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1292,"$95,000",2022,,2 years,Journalism,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Center for Media Research-Nepal,"Kathmandu Bagmati, Nepal",To provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1293,"$95,000",2022,Forced Labor & Human Trafficking,1 year,Supporting journalism on FIFA & MWC2022 II,"Journalism, news and information; Investigative journalism",Not Specified,Program support,Cash grants,Humanity United,"San Francisco, CA United States",Dype Skoger As,"Oslo, Norway","To conduct investigative journalism into the intersection of sport, human rights, and corruption",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1294,"$95,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education; Program support,Cash grants,Journalism Funding Partners,"Sacramento, CA United States",Kalita Mukul Creative Inc,"JACKSON HEIGHTS, NY United States",Targeted community journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1295,"$95,000",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Capacity-building and technical assistance; Advocacy; Equal access; Program support,Cash grants,Sierra Club Foundation,"Oakland, CA United States",Centro De Periodismo Investigativo Inc,"San Juan, PR United States","TO PARTNER WITH SIERRA CLUB PUERTO RICO TO DEVELOP CAPACITIES, SKILLS AND TOOLS NEEDED TO DO WATCHDOG CLIMATE JUSTICE WORK THROUGH AN EMERGING OBSERVATORIO DE ACCION CLIMATICA (OAC) STEERING COMMITTEE AND TO TRAIN AND GIVE REPORTING GRANTS TO LOCAL JOURNALISTS THAT WANT TO INVESTIGATE PRESSING CLIMATE CRISES ISSUE",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1296,"$94,708",2022,,1 year,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States","The GroundTruth Project, Inc.","Boston, MA United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
