amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"$225,000",2024,National Program,1 year,Open Campus Media,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Individual development; Program support,Cash grants,CARNEGIE CORPORATION OF NEW YORK,"New York City, NY United States",Open Campus Media Inc,"Washington, DC United States",For project support of the 'life after high school' initiative and to continue support of the HBCU journalism fellowship,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$225,000",2024,Interfaith Leadership & Religious Literacy,1 year,,"Journalism, news and information; Journalism, news, and information, general",Christians,Leadership and professional development; Public engagement and education; Presentations and productions; Program support,Cash grants,The Arthur Vining Davis Foundations,"PONTE VEDRA BEACH, FL United States",Christianity Today International,"Carol Stream, IL United States","In a world where local conflict quickly goes global due to social media and misinformation, and where populists and polemicists leverage fear and anger to amass their audience and preserve their influence, religious literacy is needed today more than ever. With this grant,Â CT will continue to expand its savvy, theologically informed journalism and commentary to global, multi-religious cities. This journalism will help our Christian readers better understand not only other Christians in other parts of the planet, but also people of other faiths such as Muslims, Buddhists, and Hindus. This will enable Christian leaders to better guide their constituents on matters of interfaith engagement, creating more effective collaboration for the common good.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$220,000",2024,,1 year,"Supporting the Open Research Community Accelerator in advancing a more transparent, accountable, and inclusive open science community","Journalism, news and information; Journalism, news, and information, general",Economically disadvantaged people; Ethnic and racial groups; Immigrants and migrants,Ethics and accountability,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Multiplier,"Oakland, CA United States","To support the Open Research Community Accelerator in advancing a more transparent, accountable, and inclusive open science community.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$201,000",2024,,3 years,Institute for Media and Public Trust - Advancing Community Health,"Journalism, news and information; Constituency journalism",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",CALIFORNIA STATE UNIVERSITY FRESNO FOUNDATION,"Fresno, CA United States",To build a pipeline of youth journalists of color in the Central Valley who can deepen their journalism skills and elevate issues from their communities through a health and racial equity lens.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Gender Equality|Global Policy and Advocacy,1 year,Wole Soyinka Centre For Investigative Journalism,"Journalism, news and information; Investigative journalism",Not Specified,"Policy, advocacy and systems reform; Public engagement and education; Program support",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Wole Soyinka Centre for Investigative Journalism,"Lagos, Nicaragua",To strategically engage select media organizations on the benefits of increasing coverage of women issues and female leaders in their newsrooms.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Civil Society,1 year,Clooney Foundation for Justice,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Equal access; Public engagement and education; Program support; Systems reform,Cash grants,CHARLES STEWART MOTT FOUNDATION,"Flint, MI United States",Clooney Foundation for Justice,"New York City, NY United States","The Clooney Foundation for Justice works to support those suffering from mass and systemic injustices, because of who they are, what they do, or where they might find themselves. All over the world, journalists and human rights defenders are detained, prosecuted and jailed. Women, girls and minorities are subject to unfair laws and targeted for abuse. Ukrainians are at the forefront of Russia's aggression, with potential war crimes and crimes against humanity being committed against them. The grantee seeks to address this by: 1) gathering evidence of mass human rights abuses; 2) providing free legal support to victims; and 3) working to ensure that perpetrators are held to account. Established in 2016, the Clooney Foundation for Justice works in more than 40 countries and actively investigates war crimes in Ukraine, monitors sham trials targeting women and journalists, and fights against a global trend of authoritarianism that seeks to punish those who speak truth to power.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Environment,2 years,Center for Michigan,"Journalism, news and information; Investigative journalism; Constituency journalism",Adults,Program support; Outreach; Online media; Publications,Cash grants,CHARLES STEWART MOTT FOUNDATION,"Flint, MI United States",The Center for Michigan,"Ypsilanti, MI United States","Bridge Michigan's Environment Watch is a digital newspaper published by the Center for Michigan, a nonprofit organization that seeks to make Michigan better through high-quality, nonpartisan journalism and audience engagement. Since its launch in 2011, the online publication has grown dramatically and earned a reputation as one of Michigan’s most trusted news outlets. Bridge Michigan is also one of five nonprofit news outlets that participate in the Great Lakes News Collaborative, a Mott-funded initiative that seeks to improve news coverage of water issues in the region. Bridge Michigan is one of the pillars of the Collaborative. With renewed support, the Center for Michigan will continue to produce in-depth, high-quality, public-service journalism for its Environment Watch publication and the Great Lakes News Collaborative.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Journalism,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Reporters Committee for Freedom of the Press,"Washington, DC United States",To develop RCFP'scapacity forrapid responsesto press freedom emergencies by expandingits free national legal hotline and itsrapid response legal and policyresources,https://knightfoundation.org/grants/
"$200,000",2024,,1 year,Extending support for the Word In Black project for dedicated health reporting,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; People of African descent; LGBTQ people,Presentations and productions; Public engagement and education; Equal access,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Local Media Foundation,"Lake City, MI United States","To provide dedicated capacity for health reporting for Word In Black (WIB), including (1) continued support for a journalist exclusively focused on health inequities and (2) the publication of a variety of health and social justice stories from the 10 publishers that comprise the WIB cohort of newspapers.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Pivotal Place: Western Balkans Program,3 years,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Slavko Curuvija Foundation,"Beograd, Serbia",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Ponte Jornalismo,"Bela Vista, Brazil",General support to defend human rights through independent professional journalism and to strengthen Brazilian democracy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Febrayer E.V.,"Berlin, Germany",General support to foster and develop a sustainable and impactful progressive independent Arab media ensuring that independent voices remain robust against oppression,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Kalita Mukul Creative Inc,"JACKSON HEIGHTS, NY United States","For Epicenter NYC, a newsletter-format, innovative model of community service journalism",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Raseef22 Ltd,"London, United Kingdom","To support promoting cultural diversity, societal commitment, the construction of oneself and the collective, and economic and territorial impact among vulnerable populations in the MENA region",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Civic Engagement and Government; Natural Resources and Climate Change,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Repórteres Sem Fronteiras Brasil,"Rio de Janeiro, Brazil","General support for strengthening pluralism, diversity, protection and independence in Brazilian journalism",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Journalism,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Instituto Incube,"São Paulo, Brazil",For piloting a Brazilian Fund for Public Interest Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,PUBLIC & SOCIETY BENEFIT,1 year,Support for the Local News for Los Angeles,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Program support,Cash grants,Weingart Foundation,"Los Angeles, CA United States",American Journalism Project Inc,"Washington, DC United States",Program Development,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$200,000",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,William Randolph Hearst Foundation,"New York City, NY United States",The Curators of the University of Missouri,"Columbia, MO United States",To support the creation of a multiplatform One Newsroom in the School of Journalism,https://www.hearstfdn.org/grant-recipients-database
"$195,000",2024,Civic Engagement and Government,1 year,,"Journalism, news and information; Journalism, news, and information, general",Women and girls,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States",International Womens Media Foundation,"Washington, DC United States","Core support for ACOS to embed a culture of safety within journalism, a prerequisite for a strong, independent media and to build its capacity to current demands with knowledge, networks and resources and project support for institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$185,000",2024,Field Support and Development,1 year,Developing Quality Postsecondary Education Reporting,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Network-building and collaboration,Cash grants,Ascendium Education Group Inc,"Madison, WI United States",EDUCATION WRITERS ASSOCIATION,"Washington, DC United States","This grant supports the Education Writers Association in increasing the quality and volume of national postsecondary education media coverage by hosting a national seminar, developing online resources, and providing micro-fellowships to new journalists working on stories that highlight solutions to support learners from low-income backgrounds.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$180,000",2024,Public Educational Media,1 year,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups; Economically disadvantaged people; Incarcerated people,"Public engagement and education; Policy, advocacy and systems reform",Cash grants,The Arthur Vining Davis Foundations,"PONTE VEDRA BEACH, FL United States",Northeast Florida Journalism Collective Inc,"Jacksonville, FL United States","The Tributary strengthens Northeast Florida's local news landscape, addressing the critical shortfall in investigative journalism and coverage of essential issues like justice, democracy, and barriers to opportunity. This project  will support our team's staff expansion, both in journalism and financial sustainability. Together, they will enhance our capacity to deliver at least 30 in-depth investigative stories annually, develop interactive legislative accountability apps to engage the public, and strengthen media collaborations for broader impact. Expected impacts include policy changes, increased civic engagement, and bolstered support for nonprofit news in Jacksonville. This initiative, backed by The Arthur Vining Davis Foundations, promises to revitalize investigative journalism in our community, making local democracy more transparent and accountable.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$175,000",2024,,1 year,Promoting healing through teaching and researching social justice initiatives -- University of Missouri,"Journalism, news and information; Journalism, news, and information, general",Academics,Not Specified,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",University of Missouri - School of Journalism,"Columbia, MO United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$175,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Feet in 2 Worlds,"New York City, NY United States",General support to deliver the work of immigrant journalists from communities across the U.S. to public radio and online news sites,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$173,780",2024,,7 months,Supporting an Antiracist Community Development Reporting Fellowship within the National Press Foundation to enrich reporting on this topic,"Journalism, news and information; Investigative journalism; Advocacy journalism; Journalism education",Academics,Fellowships,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States","National Press Foundation, Inc.","Washington, DC United States",To expose journalists to the concept of antiracist community development through an intensive journalism fellowship and to generate subsequent media coverage on this topic.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$170,000",2024,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",People of African descent,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Associacao De Jornalismo Digital - Ajor,"São Paulo, Brazil","General support to foster collective action, diversity, knowledge and sustainability in the digital journalism ecosystem",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$166,000",2024,Science / Projects,10 months,Public Engagement and Open Science Fellow,"Journalism, news and information; Journalism, news, and information, general",Adults; Researchers,Public engagement and education,Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Woodrow Wilson International Center for Scholars,"Washington, DC United States","In support of efforts to bring together open science, open innovation, and public engagement communities to advance shared priorities and spotlight success and impact.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$160,000",2024,,2 years,General Operating Support,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Economically disadvantaged people,General support,Cash grants,California Endowment,"Los Angeles, CA United States",Voiceoforangecounty.org,"Santa Ana, CA United States","To support an organization that advances health and racial equity by supporting an online, accountability-focused nonprofit newsroom that keeps residents in Orange County and the region connected to public agencies serving their neighborhoods and empowering them with real-time civic and investigative news coverage.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,,3 years,Increasing Health Outcomes by Reporting on Justice Reform Issues,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",KQED Inc.,"San Francisco, CA United States",To support data driven justice reform reporting that advances community health and healing while directly impacting the health of California's incarcerated and formerly incarcerated populations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Journalism,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Economically disadvantaged people; Incarcerated people,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Massachusetts Institute for A New Commonwealth Inc. (MassINC),"Boston, MA United States",To support the expansion of CommonWealth Beacon in order to provide better coverage of Massachusetts politics,https://knightfoundation.org/grants/
"$150,000",2024,,1 year and 1 month,Supporting the senior health editor role at The Journalist's Resource,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",President and Fellows of Harvard College,"Cambridge, MA United States",To support the role of the senior health editor at The Journalist's Resource.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Investigative journalism",American Indians; Alaskan Natives,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Indigenous Media Freedom Alliance,"Halliday, ND United States","Core support for Buffalo's Fire, a digital news site providing news about Indian Country",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",American Indians; Alaskan Natives,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Underscore Media Collaboration,"Portland, OR United States",General support to produce Indigenous-centered journalism that illuminates the intersections of sovereignty and justice and portrays the rich diversity of Native communities in the Pacific Northwest,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Baltimore Beat Inc,"Baltimore, MD United States","General support to honor the tradition of the Black press and the spirit of alt-weekly journalism with reporting that focuses on community, questions power structures, and prioritizes thoughtful engagement with its readers",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Mississippi Journalism and Education Group,"Jackson, MS United States",General support toward going beyond partisanship and publishing solutions journalism for the Magnolia State and all of its people,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,,3 years,Expanding Racial and Health Equity in Media Reports,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",CalMatters,"Sacramento, CA United States","To produce work in Spanish for access by media partners and to provide reports, investigative stories and commentary on health and racial equity, poverty, inequality, economic and social justice, and show the intersection with public policy by emphasizing how these issues impact underserved communities in California.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,"Together, We Rise",1 year,For general operating support,"Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Indigenous peoples; Economically disadvantaged people; Victims and oppressed people,General support,Cash grants,MEYER MEMORIAL TRUST,"Portland, OR United States",Underscore Media Collaboration,"Portland, OR United States","For general operating support of this organization which publishes in-depth, Indigenous-centered journalism in the Pacific Northwest",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Media,1 year,,"Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Park Foundation Inc,"Ithaca, NY United States",Democracy Now Productions Inc,"New York City, NY United States",General operating support,https://www.parkfoundation.org/grants/grants-database
"$150,000",2024,Public and Societal Benefit,1 year and 1 month,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Bush Foundation,"St Paul, MN United States",Minnesota Council on Foundations,"Minneapolis, MN United States",Bringing resources to the field of local journalism in Minnesota and strengthening the infrastructure and collaboration required to build a durable news and information ecosystem statewide.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",American Indians; Alaskan Natives,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Native American Journalists Association,"Norman, OK United States","General support for professional association advocacy for Native American journalists, and for work on freedom of the press and tribally-owned media",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Technology and Society,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Internet and broadband; Media applications and tools; Media applications and tools, general; Media access and policy; Media democracy; Media justice; Intellectual property; Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Protego Press,"Austin, TX United States","General support to provoke new ideas, debate, and discussion at the intersection of technology and democracy, with an eye to supporting and uplifting new, diverse voices in the field",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking; Creativity and Free Expression,2 years,,"Journalism, news and information; Journalism, news, and information, general",People of African descent; Activists,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Warrenconner Development Coalition,"Detroit, MI United States","Core support for the Detroit Engaged Eastside Podcast Network, headlined by the Authentically Detroit podcast, as a vehicle to highlight the voices of Detroit community residents",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$150,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Resolve Philadelphia Inc,"Philadelphia, PA United States","General support for journalism based on equity, collaboration, and community voices, serving the Philadelphia region and modeling work for other communities",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$125,000",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Exhibits,Cash grants,Terra Foundation for American Art,"Chicago, IL United States",Memphis Brooks Museum of Art,"Memphis, TN United States","Andrea Morales: Roll Down Like Water-Photography and Movement Journalism in the American South is a solo exhibition of the Memphis-based Peruvian American documentary photographer Andrea Morales (b.1984), the artist's first major touring exhibition and catalogue",https://www.terraamericanart.org/grant/
"$120,000",2024,,1 year,KFF Health News Montana Health News Partnership,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Public engagement and education,Cash grants,Headwaters Foundation,"Missoula, MT United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States","To increase both the quantity and quality of health journalism for and about Montana residents, with a particular focus in Western Montana, thereby increasing the availability of information about the political, industry, and social factors that impact their health and well-being.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$110,000",2024,,2 years,Supporting a STAT News fellowship that will provide training for journalists to proficiently report on disability issues,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Fellowships; Equal access,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Boston Globe Media Partners LLC,"BOSTON, MA United States",To provide two years of funding to help launch the Disability Reporting Fellowship at STAT to increase disability justice and heath equity coverage.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,,2 years,Advancing Community Health via Improved Reporting on Law Enforcement,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",KQED Inc.,"San Francisco, CA United States","To advance community health and healing in California by supporting a collaboration among 17 affiliated public media stations that support station partners' journalism in serving community needs, ultimately giving community voices on the front lines increased access to statewide audiences and a national platform.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,Just Societies,1 year,,"Journalism, news and information; Investigative journalism",Families; Women and girls,General support,Cash grants,DAVID AND LUCILE PACKARD FOUNDATION,"Los Altos, CA United States",Fuller Project for International Reporting Inc,"Washington, DC United States",for general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,"Policy, advocacy and systems reform; Program support",Cash grants,Greater Washington Community Foundation,"Washington, DC United States",America First Policy Institute,"Arlington, VA United States",America First Policy Institute- Donatation,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Greater Washington Community Foundation,"Washington, DC United States",America First Policy Institute,"Arlington, VA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education,Cash grants,Lumina Foundation for Education Inc,"Indianapolis, IN United States","Equivolve Consulting, LLC","Baltimore, MD United States",To support public interest journalism and higher education coverage in Indiana and other states,https://www.luminafoundation.org/resources/grants/grant-database
"$100,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,MCKNIGHT FOUNDATION,"Minneapolis, MN United States",The Tiny News Collective Inc,"Philadelphia, PA United States",to support dialogue journalism and solutions journalism efforts in Greater Minnesota,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,Media,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Program support; Public engagement and education,Cash grants,Park Foundation Inc,"Ithaca, NY United States","University of Maryland College Park Found,lnc","College Park, MD United States",Investigative Reporting Projects at Merrill College,https://www.parkfoundation.org/grants/grants-database
"$100,000",2024,Media,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Fellowships; Program support,Cash grants,Park Foundation Inc,"Ithaca, NY United States","Firelight Media, Inc.","New York City, NY United States",Firelight Media's Documentary Lab Fellowship,https://www.parkfoundation.org/grants/grants-database
"$100,000",2024,Civic Engagement and Government,2 years,,"Journalism, news and information; Investigative journalism",Indigenous peoples; Multiracial people; People of African descent,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Instituto O Joio E O Trigo,"São Paulo, Brazil",To strengthen narratives about production systems based on land and territorial rights on the road to COP30,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,Other Grantmaking,2 years,,"Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",INDEPENDENT ARTS & MEDIA,"San Francisco, CA United States","Core support for El Tímpano to inform, engage, and amplify the voices of Latino and Mayan immigrant's in the San Francisco Bay Area",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,Other Grantmaking,2 years,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The Center for Independent Documentary Inc,"Newton, MA United States",Core support for the Disability Justice Project to grow its partnerships and expand its mission and visibility while steering toward sustainability,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,Civic Engagement and Government,2 years,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Vladimir Herzog Institute,"São Paulo, Brazil",For the National Network for the Protection of Journalists and Communicators in order to defend the right to freedom of expression and to strengthen democratic values for all citizens in Brazil,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$100,000",2024,PUBLIC & SOCIETY BENEFIT,2 years,Unrestricted Operating Support,"Journalism, news and information; Investigative journalism; Advocacy journalism",Adults; Economically disadvantaged people; Ethnic and racial groups,General support,Cash grants,Weingart Foundation,"Los Angeles, CA United States",Voiceoforangecounty.org,"Santa Ana, CA United States",Unrestricted Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$90,000",2024,,3 years,Providing a general operating support grant to the National Lesbian and Gay Journalists Association,"Journalism, news and information; Journalism, news, and information, general",LGBTQ people,General support; Advocacy,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",National Lesbian & Gay Journalists Association,"Washington, DC United States",To provide general operating support for the National Lesbian and Gay Journalists Association (NLGJA).,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$90,000",2024,,3 years,Providing a general operating support grant to the Indigenous Journalists Association,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Native American Journalists Association,"Norman, OK United States",To provide general operating support for the Native American Journalists Association.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$75,000",2024,Journalism,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Honolulu Civil Beat Inc,"Honolulu, HI United States",To partially fundaposition to report on theenvironmental impact ofthe wildfires that devastated Maui during the summer of 2023,https://knightfoundation.org/grants/
"$75,000",2024,Media,1 year,,"Journalism, news and information; Investigative journalism",Low-income people,General support,Cash grants,Park Foundation Inc,"Ithaca, NY United States",Fund for Investigative Journalism Inc,"Washington, DC United States",General operating support,https://www.parkfoundation.org/grants/grants-database
"$75,000",2024,Pivotal Place: Central America,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Ethics and accountability; Program support; Public engagement and education,Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",Insight Crime Incorporated,"Washington, DC United States",For its project on investigating corruption and organized crime in Central America,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$70,000",2024,Cross-cutting / Wildfire Resilience,1 year and 6 months,Wildfire Institute for Journalists,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Institutes for Journalism and Natural Resources,"Missoula, MT United States",To support a wildfire institute for journalists in May 2024.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$64,800",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Young adults,Program support,Cash grants,Nina Mason Pulliam Charitable Trust,"Indianapolis, IN United States",Society of Environmental Journalists,"Washington, DC United States","Publicize, implement and manage the 2024, 2025 and 2026 Nina Mason Pulliam Award for Outstanding Environmental Reporting",https://www.ninapulliamtrust.org/grantees/
"$62,500",2024,Journalism,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Trustees of Columbia University in the City of New York,"New York City, NY United States",To supportresearch into occupational trauma and resilience of journalists who covered key globalconflictsbetween 2001 and2021,https://knightfoundation.org/grants/
