amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Schooner Foundation C/o Schooner Capital LLC,"Boston, MA United States",ISSUE ONE,"Washington, DC United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Tow Foundation Inc,"New Canaan, CT United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",UNRESTRICTED GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Tow Foundation Inc,"New Canaan, CT United States","The GroundTruth Project, Inc.","Boston, MA United States",PUBLIC SERVICE REPORTING ON CRIMINAL JUSTICE IN NY AND CT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Researchers,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Tow Foundation Inc,"New Canaan, CT United States",Kennesaw State University Research and Service Foundation Inc,"Kennesaw, GA United States",THE YOUTH JUSTICE NEW YORK METRO BUREAU AT THE CRAIG NEWMARK GRADUATE SCHOOL OF JOURNALISM AT CUNY (NEWMARK J SCHOOL),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups; Work status and occupations,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Thomas W Smith Foundation Inc,"Boca Raton, FL United States",Daily Caller News Foundation,"Washington, DC United States",Public policy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability; Public engagement and education; Systems reform; Program support,TRANSACTION TYPE: Cash grants,Wallace Global Fund II,"Washington, DC United States","Public Citizen Foundation, Inc.","Washington, DC United States",Support for work on government and corporate accountability-global trade watch,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Foster and adoptive children; Economically disadvantaged people; Young adults; Caregivers; Families; Foster and adoptive parents; Grandparents; Out-of-home youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Walter S Johnson Foundation C/o Whittier Trust,"San Francisco, CA United States",FOSTERING MEDIA CONNECTIONS,"Los Angeles, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Abrams Foundation Inc,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",General purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Alson Foundation FKA the Neil Barsky and Joan S Davidson Foundation,"New York City, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Continuing support; Recordings and broadcasts; Program support,TRANSACTION TYPE: Cash grants,C. K. Blandin Foundation,"Grand Rapids, MN United States",Minnesota Public Radio | American Public Media,"St Paul, MN United States","Operating support over two years to continue rural news reporting, distribution and in-depth coverage in rural Minnesota",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,California Community Foundation,"Los Angeles, CA United States",International Documentary Association,"Los Angeles, CA United States",Arts,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Catena Foundation,"Carbondale, CO United States",Aspen Journalism,"Aspen, CO United States",Environmental journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Environment,GRANT DURATION: 2 years,GRANT TITLE: Mongabay.org,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics; Activists; Children and youth; Indigenous peoples,SUPPORT STRATEGY: Online media; Network-building and collaboration,TRANSACTION TYPE: Cash grants,CHARLES STEWART MOTT FOUNDATION,"Flint, MI United States",MONGABAYORG CORPORATION,"Menlo Park, CA United States","Founded in 1999, Mongabay.Org is a top source of environmental news, analysis, information, and inspiration on the Internet. Over the past grant period, the grantee produced original stories on the impacts of large-scale hydroelectric development and finance in the Amazon, with a focus on the Tapajos River basin. Over the next grant period, the grantee will build on its body of reporting by covering finance and development of energy and infrastructure and its impacts on environmental sustainability in the greater Amazon.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Citizen journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Cloud Mountain Foundation C/o Wffa Pllc,"New York City, NY United States",Center for Media and Democracy Inc,"Madison, WI United States",News and information,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Children and youth; Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Crankstart Foundation,"SAN FRANCISCO, CA United States",Youth Radio,"Oakland, CA United States",General charitable purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Outreach; Program support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",University of Denver,"Denver, CO United States","Tosupportthe Colorado Media Project (CMP), housed within the University of Denver's Project X-ITE. CMPisanecosystem-level convener, facilitator, and coordinator that will work to bring capacity-building expertise and implementation support to local news outlets as they individually and collectively seek to address gaps and galvanize broader community engagement and investment in public service journalism, as a means to meeting the local news and information needs of all Coloradans now and in the future.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: People of Asian descent,SUPPORT STRATEGY: Continuing support; General support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",Asian American Journalists Association,"Washington, DC United States","To build organizational capacity to continue Asian Americans Journalists Association's support of members through trainings, networking, and scholarship opportunities, while partnering with media to ensure responsible and diverse coverage of AAPI communities.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups; Work status and occupations,SUPPORT STRATEGY: Public engagement and education; Advocacy,TRANSACTION TYPE: Cash grants,Diana Davis Spencer Foundation Inc,"Bethesda, MD United States",Daily Caller News Foundation,"Washington, DC United States","For DCNF'S news gathering, journalist training, and code 3 reporting. The grantee will use grant funds for cooperative news-gathering programs with liberty nation, a project of one generation away",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Dick and Betsy Devos Family Foundation,"Grand Rapids, MI United States",National Review Institute,"New York City, NY United States",Unrestricted Grant to General Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Donald a Pels Charitable Trust Utd 8/18/92 C/o Pkf O'connor Davies,"Harrison, NY United States","PRO Publica, Inc.","New York City, NY United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Donors Trust Inc,"Alexandria, VA United States",Student Free Press Association,"Hillsdale, MI United States",For general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Elemental Impact,"Honolulu, HI United States",Biocellection Inc,"Menlo Park, CA United States",To fund technological solution in circular economy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Investigative Reporting,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Students; Ethnic and racial groups; Military personnel; Veterans,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",inewsource,"San Diego, CA United States","Support data-based, investigative journalism",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Investigative Reporting,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",The Center for Investigative Reporting,"Emeryville, CA United States",To support partnerships with other newsrooms for the Reveal radio show and podcast and the Reveal Local Labs initiative,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Investigative Reporting,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; General support; Presentations and productions; Equal access,TRANSACTION TYPE: Cash grants,Ethics and Excellence in Journalism Foundation,"Oklahoma City, OK United States",Connecticut Health I-Team Inc,"Nantucket, MA United States",For general support of data-driven investigative multimedia stories on health and safety,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Special Opportunities,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms, General",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Financial sustainability,TRANSACTION TYPE: Cash grants,Ethics & Excellence in Journalism Foundation,"Oklahoma City, OK United States",Miami Foundation,"Miami, FL United States","To Fund for Nonprofit News for Newsmatch, a national matching-gift campaign to grow fundraising capacity in nonprofit newsrooms and promote giving to journalism",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Researchers,SUPPORT STRATEGY: Network-building and collaboration; Program support; Research,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",More in Common Inc,"New York City, NY United States","To enhance the Grantee's existing study of French public opinion to better diagnose, engage and understand the yellow vests movement",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability; Online media; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Creatura,"Ciudad de México, Mexico","To support the ongoing development of an online platform, Antifaz, which is expected to better educate the public on topics including corruption, human rights, and inequality by disseminating free content through non-traditional media",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Equal access; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Georgetown University,"Washington, DC United States","To support the Grantee's Institute for Technology Law and Policy to educate the public on the vital role of open, democratic, accessible, and affordable communications networks",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,SUBJECT:Investigative journalism,POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,F Three Foundation,"San Francisco, CA United States",Center for Investigative Reporting,"Emeryville, CA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Researchers; Activists; Social and economic status; Age groups,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,George Kaiser Family Foundation,"Tulsa, OK United States",OKLAHOMA POLICY INC,"Tulsa, OK United States",Open Justice Oklahoma,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Good Words Foundation,"Washington, DC United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States",General purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Hillman Family Foundations,"Pittsburgh, PA United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States",PA Post,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students,SUPPORT STRATEGY: Capacity-building and technical assistance; Program support; Public engagement and education; Publications,TRANSACTION TYPE: Cash grants,Hillman Family Foundations,"Pittsburgh, PA United States",Global Solutions Pittsburgh,"Pittsburgh, PA United States",Capacity and state of global engagement report,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Human Rights Voices,"Norfolk, VA United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Jacob & Valeria Langeloth Foundation,"New York City, NY United States","National Public Radio, Inc.","Washington, DC United States",Project support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Journalism and Media,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Reporters Without Borders Inc,"Washington, DC United States",In support of general operations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,PROGRAM AREA: Journalism and Media,GRANT DURATION: 7 months,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",In support of the Annenberg Innovation Lab's Count the Nation.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Conference attendance; Program support; Systems reform,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",President and Fellows of Harvard College,"BOSTON, MA United States","To promote excellence in journalism by providing training and best practices on how to find, build and",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Conference attendance; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Council on Foreign Relations,"New York City, NY United States",To organize an in-person workshop and distribute reporting resources to help inform and provide,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Women and girls,SUPPORT STRATEGY: Equal access; Recordings and broadcasts; Online media; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The 19th News,"Austin, TX United States","To support the launch of the 19TH, the countrys first nonprofit, nonpartisan digital news",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics; People with vision impairments,SUPPORT STRATEGY: Advocacy; Conference attendance; Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",West Virginia University Foundation Inc,"Morgantown, WV United States","To support entrepreneurship in journalism by supporting a program that recruits, trains",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: Advocacy; Conferences and exhibitions; Equal access; Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",National Association of Black Journalists,"College Park, MD United States",To advance journalistic excellence and increase diversity by supporting the 2019,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Jonathan Logan Family Foundation,"Berkeley, CA United States",SOCIAL GOOD FUND,"Richmond, CA United States",Boost circulation of the SQ News,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Marty and Dorothy Silverman Foundation,"New York City, NY United States",The Center for Investigative Reporting,"Emeryville, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Individual development; Scholarships,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",Student Free Press Association,"Hillsdale, MI United States","Public, societal benefit",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Academics,SUPPORT STRATEGY: Publications; Research and evaluation,TRANSACTION TYPE: Cash grants,Omidyar Network Fund Inc,"Redwood City, CA United States",Teachers College Columbia University,"New York City, NY United States",To support the Hechlnger Report,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Orr Family Foundation,"Saratoga, CA United States",Media Matters for American,"WASHINGTON, DC United States",General fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Paul L Foster Family Foundation,"El Paso, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",General support newsroom,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Network-building and collaboration; Program support,TRANSACTION TYPE: Cash grants,Pisces Foundation,"San Francisco, CA United States",Duke University,"Durham, NC United States",To share water data across the U.S.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Children and youth; Families; Women; Low-income people; Working poor,SUPPORT STRATEGY: Recordings and broadcasts; Program support; Advocacy; Equal access; Publications; Systems reform,TRANSACTION TYPE: Cash grants,Public Welfare Foundation,"Washington, DC United States",Momsrising Education Fund,"Bellevue, WA United States",Program support for reporting on juvenile justice issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,R&m Goldberg Family Foundation Inc,"New Hyde Park, NY United States",New York-Presbyterian Fund Inc,"New York City, NY United States","""PUBLIC""",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Ethnic and racial groups; Low-income people; Students,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Richard M. Fairbanks Foundation, Inc.","Indianapolis, IN United States",Civic News Company,"New York City, NY United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media applications and tools; Media applications and tools, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Researchers,SUPPORT STRATEGY: Data and measurement systems; Program support,TRANSACTION TYPE: Cash grants,Richard W Goldman Family Foundation,"Washington, DC United States",Child Trends,"Rockville, MD United States",Support the early ildhood data llaboratxve,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
