amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Schooner Foundation C/o Schooner Capital LLC,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Tow Foundation Inc,"New Canaan, CT United States","The GroundTruth Project, Inc.","Boston, MA United States",REPORT FOR AMERICA,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism; Journalism education",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Fellowships; Leadership and professional development; Outreach,TRANSACTION TYPE: Cash grants,The Tow Foundation Inc,"New Canaan, CT United States",MARSHALL PROJECT INC,"New York City, NY United States",THE TOW FELLOWSHIP AND NEWS INSIDE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Tow Foundation Inc,"New Canaan, CT United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States",UNRESTRICTED FUNDING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Trammell & Margaret Crow Foundation C/o Crow Family Holdings,"Dallas, TX United States",National Review Institute,"New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Vervane Foundation Inc,"Cos Cob, CT United States","Grist Magazine, Inc.","Seattle, WA United States",CHARITABLE DONATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Thiry-O'leary Foundation C/o the Klapper Firm,"Denver, CO United States",ISSUE ONE,"Washington, DC United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Thornburg Foundation,"Santa Fe, NM United States",New Mexico in Depth Inc,"Rio Rancho, NM United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Wallace Genetic Foundation II Inc,"Washington, DC United States",Rotarian Safe Water & Sanitation Foundation Inc,"Newton, KS United States",GENERAL SUPPORTAND WASH IN HCFADVOCACY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts,TRANSACTION TYPE: Cash grants,Wallace Global Fund II,"Washington, DC United States",Democracy Now Productions Inc,"New York City, NY United States",Democracy Now!: Covering the Movements Changing America—and the World,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Public engagement and education; Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,Wallace Global Fund II,"Washington, DC United States",Media Matters for America,"Washington, DC United States",Combating Media Misinformation,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,William T Kemper Foundation,"Kansas City, MO United States",Public Television 19 Inc,"Kansas City, MO United States",CIVIC IMPACT JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support; Online media,TRANSACTION TYPE: Cash grants,Z. Smith Reynolds Foundation,"Winston Salem, NC United States",North Carolina Community Foundation,"Raleigh, NC United States",NORTH CAROLINA LOCAL NEWS LAB PROJECT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Amalgamated Charitable Foundation Inc,"Washington, DC United States",Capital B News Inc,"New York City, NY United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Better Place Foundation FKA the Ratliff Charitable Foundation,"Irondale, AL United States",MOVE Gulf Coast Community Development Corporation,"Mobile, AL United States",COMMUNITY SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Program support; General support,TRANSACTION TYPE: Cash grants,C. K. Blandin Foundation,"Grand Rapids, MN United States",Minnesota Public Radio | American Public Media,"St Paul, MN United States","OPERATING SUPPORT OVER TWO YEARS TO CONTINUE RURAL NEWS REPORTING, DISTRIBUTION AND IN-DEPTH COVERAGE IN RURAL MINNESOTA",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,GRANT TITLE: General Operating Support,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,California Endowment,"Los Angeles, CA United States",Black Cultural Zone Community Development Corporation,"Oakland, CA United States","To support an organization that works to innovate, incubate, inform and elevate community-driven projects that allow Black people and Black culture to thrive for improved health outcomes in East Oakland.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Victims of crime and abuse,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,California Physicians' Service Foundation DBA Blue Shield of California Foundation,"San Francisco, CA United States",CalMatters,"Sacramento, CA United States",SOLUTIONS-ORIENTED DOMESTIC VIOLENCE JOURNALISM BY AND FOR LATINX COMMUNITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Adults; Students,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,COUNCIL FOR THE ADVANCEMENT OF SCIENCE WRITING INC,"Seattle, WA United States",Center for Excellence in Health Care Journalism,"Columbia, MO United States",SCIENCE JOURNALISM INITIATIVE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: LGBTQ people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",National Lesbian & Gay Journalists Association,"Washington, DC United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Independent Journalism Program,GRANT DURATION: 3 months,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Associacao Brasileira de Jornalismo Investigativo,"São Paulo, Brazil",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Fthree Foundation,"San Francisco, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Goldhirsh Foundation,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Good Words Foundation,"Washington, DC United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Good Words Foundation,"Washington, DC United States",Center for Public Integrity,"Washington, DC United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Public Safety,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Greater Washington Community Foundation,"Washington, DC United States",ISSUE ONE,"Washington, DC United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Inasmuch Foundation,"Oklahoma City, OK United States",The Center for Investigative Reporting,"Emeryville, CA United States",GRANTS: LOCAL AND NATIONAL REPORTING PARTNERSHIPS; 100000.00; 10/26/2020,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Indigenous peoples; Multiracial people; Victims and oppressed people; Families; Economically disadvantaged people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,"International Center for Journalists, Inc.","Washington, DC United States",Indij Public Media,"Phoenix, AZ United States",PROJECT GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Advocacy journalism",POPULATION SERVED: Ethnic and racial groups; LGBTQ people; Immigrants and migrants; Incarcerated people; Economically disadvantaged people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,"International Center for Journalists, Inc.","Washington, DC United States","Prism Reports, Inc","Oakland, CA United States",PROJECT GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Journalism and Media,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Asian American Journalists Association,"Washington, DC United States",In support of general operations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Journalism and Media,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",100REPORTERS,"Washington, DC United States",In support of the Double Exposure Investigative Film Festival and Symposium.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Journalism and Media,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",National Association of Black Journalists,"College Park, MD United States",In support of general operations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics; People of Latin American descent,SUPPORT STRATEGY: Financial sustainability; Online media; Program support,TRANSACTION TYPE: Cash grants,La Quinta Arts Foundation,"Palm Desert, CA United States",College of the Desert,"Palm Desert, CA United States",digital arts & media program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Luminate Foundation Inc,"Washington, DC United States",Finance Uncovered,"London, United Kingdom",Program support to global Investigative Journalism Network.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Data Stewardship,GRANT DURATION: 11 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,MOZILLA FOUNDATION,"San Francisco, CA United States",Genossenschaft Posmo Schweiz,Switzerland,"The purpose of this project is to provide research and findings on an ethical approach to data governance. For this purpose, POSMO will engage with existing and potential contributors of mobility data through individual interviews, facilitated design workshops, and other group data collection methods to grasp how design choices incentivize participation, including data ethics criteria, internal governance processes, UX/UI features and the data cooperative model.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Data Stewardship,GRANT DURATION: 11 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,MOZILLA FOUNDATION,"San Francisco, CA United States",Tidepool Project,"Palo Alto, CA United States",The purpose of this project is to develop a blanket real-world evidence parent protocol in collaboration with a principal investigator for the Tidepool Big Data Donation Project and issue a report on the impact that the data from the Project has made so far to encourage more data donors and scientists to participate in it.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Mwc Foundation Inc #0726315,"Boston, MA United States",Democracy Now Productions Inc,"New York City, NY United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Telecommunications infrastructure; Internet access; Media access and policy; Media democracy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,"SUPPORT STRATEGY: Equal access; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",Free Press,"Washington, DC United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Thriving Communities,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"New York Community Trust aka Community Funds, Inc.","New York City, NY United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States",For general support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Research; Program support; Public engagement and education; Advocacy,TRANSACTION TYPE: Cash grants,Omidyar Network Fund Inc,"Redwood City, CA United States","JUST Capital Foundation, Inc.","New York City, NY United States",To research on public disclosure of ESG accomplishments and civic engagement.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Independent Journalism Program,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Open Society Foundation,"New York City, NY United States",Finance Uncovered,"London, United Kingdom",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Park Foundation Inc,"Ithaca, NY United States","The GroundTruth Project, Inc.","Boston, MA United States",REPORT FOR AMERICA,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Paul L Foster Family Foundation,"El Paso, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Systems reform,TRANSACTION TYPE: Cash grants,Public Welfare Foundation,"Washington, DC United States",Deep South Today,"Ridgeland, MS United States",Support for investigative reporting on Mississippi's criminal and youth justice systems,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Reva and David Logan Foundation,"Chicago, IL United States",Global Investigative Journalism Network,"Washington, DC United States",GENERAL OPERATING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Robert and Ardis James Foundation Inc,"Wilmington, DE United States",Vmts Education Inc,"Brooklyn, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Democratic Practice - Global Challenges,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Research and evaluation",TRANSACTION TYPE: Cash grants,"Rockefeller Brothers Fund, Inc.","New York City, NY United States",University of Oregon,"Eugene, OR United States",For building a database on rights of nature measures and actions,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Presentations and productions; Program support; Faculty and staff development,TRANSACTION TYPE: Cash grants,RSF Social Finance,"San Francisco, CA United States",Investigative Reporters and Editors Inc,"Columbia, MO United States",TO SUPPORT FREELANCE INVESTIGATIVE REPORTERS & EDITORS (FIRE); FOR LUX MAGAZINE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sarah Scaife Foundation Incorporated,"Pittsburgh, PA United States",The Charlemagne Institute,"Bloomington, MN United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Fresnoland Media,"Fresno, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,PROGRAM AREA: Human Services Alliances & Advocacy,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",James W Foley Legacy Foundation Inc,"Portsmouth, NH United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Singer Family Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adolescents; Young adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Skyline Foundation,"San Francisco, CA United States",Student Press Law Center,"Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $100,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Solidarity Giving,"Palo Alto, CA United States","PRO Publica, Inc.","New York City, NY United States","general support, $100,000 per year for two years",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
