amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $400,548",FISCAL YEAR: 2023,,GRANT DURATION: 2 years,GRANT TITLE: Supporting Capital B News in producing service journalism to fill the information needs of Black citizens in areas underserved by local news,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Capital B News Inc,"New York City, NY United States",To support the launch of a first-of-its-kind nonprofit local and national news organization that reaches underserved Black communities with critical reporting that combats misinformation and advances health equity.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,California Physicians' Service Foundation DBA Blue Shield of California Foundation,"San Francisco, CA United States",CalMatters,"Sacramento, CA United States",THE CALIFORNIA DIVIDE PROJECT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: International Program,GRANT DURATION: 2 years,GRANT TITLE: Arab Reporters for Investigative Journalism,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Leadership and professional development; Program support,TRANSACTION TYPE: Cash grants,CARNEGIE CORPORATION OF NEW YORK,"New York City, NY United States",Arab Reporters for Investigative Journalism,"København K, Denmark",For academic partnerships in the Arab region,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Just Societies,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,DAVID AND LUCILE PACKARD FOUNDATION,"Los Altos, CA United States",ISSUE ONE,"Washington, DC United States",for general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Public engagement and education; Equal access; Program support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",ROBERT C MAYNARD INSTITUTE FOR JOURNALISM EDUCATION,"Oakland, CA United States","The Maynard Institute was founded to promote diversity and antiracism in the news media through improved coverage, hiring and business practices. They challenge the systemic lack of diversity in the news industry through training, collaborations and convenings",https://democracyfund.org/for-partners/grants-database/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Women and girls; LGBTQ people,SUPPORT STRATEGY: Individual development,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",International Womens Media Foundation,"Washington, DC United States","The International Womenes Media Foundation (IWMF) is the only global organization built to serve the holistic needs of women and nonbinary journalists. They are a bold and inclusive organization that supports journalists where they are with awards, reporting opportunities, fellowships, grants, safety training and emergency aid",https://democracyfund.org/for-partners/grants-database/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",Open News,"Mountain View, CA United States","OpenNews, a fiscally sponsored project of Community Partners, helps journalists create authentic, trusting relationships and to build a community of support. This grant supports their ongoing efforts to increase peer support and peer learning among the journalists they serve",https://democracyfund.org/for-partners/grants-database/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Equal access; Advocacy; Public engagement and education,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Centro De Periodismo Investigativo Inc,"San Juan, Puerto Rico","To improve access to independent, educational journalistic content for residents of Puerto Rico and the Puerto Rican diaspora communities in the continental United States by improving the sustainability and broadening the reach of Centro de Periodismo Investigativo (CPI), an investigative news outlet that has demonstrated journalistic excellence and community impact",https://knightfoundation.org/grants/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: LGBTQ people; Immigrants and migrants; Economically disadvantaged people; Incarcerated people; At-risk youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Lannan Foundation,"Santa Fe, NM United States",Truthout,"Sacramento, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",TEXAS TRIBUNE INC,"Austin, TX United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Centro de Jornalismo Investigativo,"São Paulo, Brazil","General support to promote Brazilian independent investigative journalism globally, to tackle toxic polarization and climate disinformation",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 1 year and 6 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Artists and performers; Journalism,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",PEN America,"New York City, NY United States",General support to unite writers and their allies to celebrate creative expression and defend the liberties that make it possible,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 1 year and 6 months,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Young adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",The Alexandria Trust,"London, United Kingdom",To support Al-Fanar Media in supporting academic institutions staff and students through media trainings and content development to be informed participants of civic life and part of positive change,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States","Journalism Development Network, Inc.","Washington, DC United States",General support to develop and equip a global network of investigative journalists in publishing stories on organized crime and corruption for the public good,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Additional Grantmaking,GRANT DURATION: 2 years,GRANT TITLE: 2023 - Southern CA Public Radio - LAist - Additional Grantmaking: Institutional Relationships,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,The James Irvine Foundation,"San Francisco, CA United States",SOUTHERN CALIFORNIA PUBLIC RADIO,"Pasadena, CA United States",To support community engagement in journalism on economic security and advancement.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Poverty: Public Will,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support; Publications; Fellowships,TRANSACTION TYPE: Cash grants,The Jpb Foundation,"New York City, NY United States",THE AMERICAN PROSPECT,"Washington, DC United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Poverty: Public Will,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Ethnic and racial groups; Women; LGBTQ people,SUPPORT STRATEGY: Fiscal sponsorships,TRANSACTION TYPE: Cash grants,The Jpb Foundation,"New York City, NY United States",The Pivot Fund,"Atlanta, GA United States",The Pivot Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Data as a Public Good,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability,TRANSACTION TYPE: Cash grants,The Patrick J Mcgovern Foundation Inc,"Boston, MA United States",Associated Press,"New York City, NY United States",to enhance journalists' capacity to effectively report on AI,https://www.mcgovern.org/grants/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Patrick J Mcgovern Foundation Inc,"Boston, MA United States",Data-Pop Alliance,"BROOKLYN, NY United States",to promote the development of algorithms and technology that better represent the Global Majority,https://www.mcgovern.org/grants/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Gender Equity & Governance,GRANT DURATION: 2 years,GRANT TITLE: for general operating support,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",Bml Foundation Limited,"Nairobi, Kenya","Baraza Media Lab is a physical space and online platform for Kenyan media practitioners to support innovation, collaboration, and new business models that advance public interest journalism. The lab will expand its presence and engagement across Kenya and East Africa. (Strategy: Inclusive Governance)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: U.S. Democracy,GRANT DURATION: 3 years,GRANT TITLE: for support of Votebeat,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Ethnic and racial groups; Low-income people; Students,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",Civic News Company,"New York City, NY United States","This grant supports Votebeat, an project of the Civic News Company which is committed to reporting the nuanced truth about elections and voting at a time of crisis in America. Votebeat?s mission is to encourage voter participation and preserve the legitimacy of elections by providing truthful, objective journalism at the local level, where all elections are carried out and where the dearth of quality information is most acute.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Gender Equity & Governance,GRANT DURATION: 2 years,GRANT TITLE: for the Africa Data Governance knowledge hub,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",Pollicy Data Institute Ltd,"Kampala, Uganda","This grant is for Pollicy, a feminist collective of technologists, data scientists, creatives, and academics to support the relaunch and long-term sustainability of the Africa Data Governance Hub ? an online platform and community designed to foster and support collaboration among data governance actors and the sharing of data governance resources in Africa. The work will include developing a targeted strategy to grow and sustain the current community ? with Pollicy leading the sustainable management of the hub in collaboration with Niyel to strengthen Francophone African participation. The goal will be to create a truly valuable community for data governance actors, scaling up efforts from the pilot, and establishing the Africa Data Governance Hub as the go-to space and premier resource that integrates online and offline engagements to enhance community involvement and participation. (Strategy: Evidence-Informed Policymaking)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Special Projects,GRANT DURATION: 2 years,GRANT TITLE: for general operating support,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",Capital B News Inc,"New York City, NY United States","This grant supports Capital B, a national newsroom that combines local service reporting, national explanatory journalism, and community engagement for Black American audiences. This grant maintains editorial independence for the newsroom and is intended only to provide general operating support.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Gender Equity & Governance,GRANT DURATION: 2 years and 2 months,GRANT TITLE: for strengthening data governance in Kenya and East Africa,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",Amnesty International Kenya,"Nairobi, Kenya","Amnesty International Kenya is part of the Amnesty International global human rights movement, which consists of 70 national entities. This grant expands the scope of existing work to now include (a) supporting the development of a human rights-compliant and data protection-compliant digital identity system in Kenya, and (b) scaling up support to the East African Community to develop a regional data governance framework (in collaboration with partner organization Open Institute). This grant is part of a cluster of grants under the Evidence-Informed Policymaking strategy to strengthen a field of African institutions working on data governance. The goal of this cluster is to help governments in East and West Africa develop policy frameworks that balance public good uses of data with data privacy and protection. (Strategy: Evidence-Informed Policymaking)",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Outreach,TRANSACTION TYPE: Cash grants,W.K. Kellogg Foundation,"Battle Creek, MI United States",The Center for Michigan,"Ypsilanti, MI United States","amplify the voices of vulnerable children and families by strengthening statewide public engagement and journalism to improve opportunities and outcomes in education, employment and health",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: Data as a Public Good,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability,TRANSACTION TYPE: Cash grants,The Patrick J Mcgovern Foundation Inc,"Boston, MA United States",Organized Crime and Corruption Reporting Project (OCCRP),"Washington, DC United States",to enhance investigative journalism with technology and collaborative initiatives,https://www.mcgovern.org/grants/
"TOTAL AMOUNT:  $400,000",FISCAL YEAR: 2023,PROGRAM AREA: U.S. Democracy,GRANT DURATION: 3 years,GRANT TITLE: for general operating support,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism; Constituency journalism; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The William & Flora Hewlett Foundation,"Menlo Park, CA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States","The Solutions Journalism Network is a nonprofit organization that advocates an approach of solutions journalism, an evidence-based mode of reporting on the responses to social problems. The network?s founding mission was ?to legitimize and spread the practice of solutions journalism? primarily by training reporters, editors, and producers; consulting on coverage, engagement, and revenue strategies; and providing catalytic financial support for projects.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $399,395",FISCAL YEAR: 2023,PROGRAM AREA: Special Interest Programme,GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Research; Public engagement and education",TRANSACTION TYPE: Cash grants,The Oak Foundation USA C/o Kemnay Advisory Services Inc,"New York City, NY United States",Public Interest News Foundation,"London, United Kingdom","To support the establishment of Watershed, an independent investigative journalism unit examining issues affecting water in the UK. The investigation will cover issues affecting water in five thematic areas: climate change, pollution, resource, policy, and wildlife. Watershed will use investigative journalism techniques, data analysis, water sampling and relationships with affected communities to create robust, in-depth, and compelling reports",https://oakfnd.org/grant-database/
"TOTAL AMOUNT:  $394,882",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $380,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Academics,"SUPPORT STRATEGY: Awards, prizes and competitions; Financial sustainability",TRANSACTION TYPE: Cash grants,The Greenfield Foundation Inc,"Philadelphia, PA United States",President and Fellows of Harvard College,"Cambridge, MA United States",TO FUND GOLDSMITH INVESTIGATIVE AWARDS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $375,250",FISCAL YEAR: 2023,PROGRAM AREA: Environment,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Young adults,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education; Publications; Advocacy; Program support; Systems reform,TRANSACTION TYPE: Cash grants,Walton Family Foundation,"Bentonville, AR United States",Society of Environmental Journalists,"Washington, DC United States",To support reporting coverage of water and climate stories,https://www.waltonfamilyfoundation.org/grants-database
"TOTAL AMOUNT:  $375,193",FISCAL YEAR: 2023,PROGRAM AREA: Advocacy,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Constituency journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,The Colorado Health Foundation,"Denver, CO United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States","Continue KFF Health News's statewide journalism efforts in Colorado, focused on health equity reporting, increased collaboration with ethnic media outlets to elevate community narratives, helping foster more and better health journalism in Colorado's evolving local journalism landscape, seek to bring additional funders to join our efforts and deeper integration of DEI practices and approaches to journalism in our work",https://coloradohealth.org/grantmaking/search
"TOTAL AMOUNT:  $375,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",TRACE MEDIA INC,"Brooklyn, NY United States",To provide general operating support,https://www.arnoldventures.org/grants-search?years=2023
"TOTAL AMOUNT:  $375,000",FISCAL YEAR: 2023,PROGRAM AREA: Rural Church,GRANT DURATION: 3 years,GRANT TITLE: To develop a web-based news platform for reporting rural-based articles.,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,The Duke Endowment,"Charlotte, NC United States",EducationNC,"Raleigh, NC United States",To develop a web-based news platform for reporting rural-based articles.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $370,264",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Leadership and professional development; Fellowships; Equal access; Research,TRANSACTION TYPE: Cash grants,California Healthcare Foundation,"Oakland, CA United States",University Southern California Spaattn Cindy Lee,"Los Angeles, CA United States",USC HEALTH DATA JOURNALISM FELLOWSHIP TRAINING; SUPPORT FOR THOSE WITH LIVED EXPERIENCE TO PARTICIPATE IN THE UNIVERSITY OF SOUTHERN CALIFORNIA'S HOMELESS POLICY RESEARCH INSTITUTE; ACCURATE PORTRAYAL OF ADDICTION AND MENTAL HEALTH; WORKING WITH HOLLYWOOD TO SUPPORT BLACK BIRTH EQUITY AND PERINATAL MENTAL HEALTH; IMPACT OF CARE MANAGER TRAINING ON COVID VACCINATION RATES IN MEDICALLY FRAGILE ADULTS IN LOS ANGELES COUNTY; STREET MEDICINE LANDSCAPE; USC HEALTH DATA JOURNALISM FELLOWSHIP TRAINING; PSYCHIATRIC ADVANCED DIRECTIVES FOR INDIVIDUALS OF CHILD-BEARING AGE: EXPLORATORY WORK; NARRATIVE CHANGE: ACCURATE DEPICTIONS OF SYSTEMIC RACISM AND ITS EFFECT ON BLACK PATIENTS AND PROVIDERS; ETHNIC MEDIA HEALTH REPORTING COLLABORATIVE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $366,500",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States",ISSUE ONE,"Washington, DC United States",FOR RECIPIENT'S EXEMPT PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $365,000",FISCAL YEAR: 2023,PROGRAM AREA: Data Science,GRANT DURATION: 1 year,GRANT TITLE: 2023 DAT 001,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Data and measurement systems; Research; Online media; Capacity-building and technical assistance; Information technology; Program support,TRANSACTION TYPE: Cash grants,The Rockefeller Foundation,"New York City, NY United States",Rockefeller Archive Center,"Sleepy Hollow, NY United States",Grant in support of creating a high-fidelity graph database that can be shared with historians as a research source to demonstrate new understandings about the Foundation’s practice and scalable impact.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $360,250",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",Corporation for New Jersey Local Media,"Morristown, NJ United States","PUBLIC, SOCIETAL BENEFIT",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $359,600",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Fund for Investigative Journalism Inc,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $354,900",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","Grist Magazine, Inc.","Seattle, WA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $350,000",FISCAL YEAR: 2023,PROGRAM AREA: Field Support and Development,GRANT DURATION: 2 years,GRANT TITLE: Supporting National Reporting on Postsecondary Education and Workforce Training,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,"SUPPORT STRATEGY: Online media; Policy, advocacy and systems reform; Program support; Publications",TRANSACTION TYPE: Cash grants,Ascendium Education Group Inc,"Madison, WI United States",Teachers College Columbia University,"New York City, NY United States","This grant supports The Hechinger Report (Hechinger), a publication of the Teachers College at Columbia University, in producing high-quality reporting on emerging trends, challenges, and promising solutions in postsecondary education and workforce training. While continuing to distribute content through its primary website and newsletter outlets, Hechinger will broaden its reach via social media and by partnering with 200+ national news outlets.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $350,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Beth and Ravenel Curry Foundation,"New York City, NY United States",Vmts Education Inc,"Brooklyn, NY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $350,000",FISCAL YEAR: 2023,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,GRANT TITLE: Civic News Company,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Ethnic and racial groups; Low-income people; Students,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Civic News Company,"New York City, NY United States",to increase public awareness and engagement of education issues in New York and Tennessee,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $350,000",FISCAL YEAR: 2023,PROGRAM AREA: Science / Projects,GRANT DURATION: 1 year and 7 months,GRANT TITLE: Open Data Project,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability; Advocacy; Program support; Systems reform; Public engagement and education,TRANSACTION TYPE: Cash grants,GORDON E AND BETTY I MOORE FOUNDATION,"Palo Alto, CA United States",Open Environmental Data Inc,"Hudson, NY United States",In support of efforts to enable open data to inform policy and action.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $350,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students,SUPPORT STRATEGY: Recordings and broadcasts; Program support,TRANSACTION TYPE: Cash grants,Independence Public Media of Philadelphia Inc,"Philadelphia, PA United States",Philadelphia Public Access Corporation,"Philadelphia, PA United States",COMMUNITY RADIO REPORTERS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
