amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States",Investigative Reporters and Editors Inc,"Columbia, MO United States","Renewed support, Unrestricted for 2020.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Citizen journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Marisla Foundation,"Laguna Beach, CA United States",Center for Media and Democracy Inc,"Madison, WI United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups; Immigrants and migrants; People with diseases and illnesses,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Paul G. Allen Family Foundation,"Seattle, WA United States",Seattle Foundation,"Seattle, WA United States",TO SUPPORT JOURNALISM BY THE SEATTLE TIMES FOCUSED ON THE HOMELESS CRISIS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Peter and Carmen Lucia Buck Foundation Inc,"New York City, NY United States","The GroundTruth Project, Inc.","Boston, MA United States",Report for america,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media applications and tools; Geographic Information Systems; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Researchers; Activists,SUPPORT STRATEGY: General support; Research and evaluation; Ethics and accountability,TRANSACTION TYPE: Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States",FRACTRACKER ALLIANCE,"Camp Hill, PA United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Thomas W Smith Foundation Inc,"Boca Raton, FL United States",Franklin News Foundation,"Chicago, IL United States",PUBLIC POLICY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year and 4 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,W.K. Kellogg Foundation,"Battle Creek, MI United States",New Mexico in Depth Inc,"Rio Rancho, NM United States",Enable the organization to achieve its mission to produce investigative and solutions oriented journalism that can be a catalyst for change by providing general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,SUBJECT:Investigative journalism,POPULATION SERVED: Offenders; Ex-offenders,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Wellspring Philanthropic Fund, Inc.","New York City, NY United States",Marshall Project,"New York City, NY United States",Operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Open government; Journalism, news and information; Investigative journalism",POPULATION SERVED: Academics; Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Wellspring Philanthropic Fund,"New York City, NY United States",National Security Archive Fund Inc,"Washington, DC United States",Operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: LGBTQ people,SUPPORT STRATEGY: Network-building and collaboration; Online media; Program support,TRANSACTION TYPE: Cash grants,Wellspring Philanthropic Fund,"New York City, NY United States","Thomson Reuters Foundation, Inc.","London, United Kingdom",Openly LGBT news and information platform,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Online engagement; Online media; Ethics and accountability; Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Wellspring Philanthropic Fund,"New York City, NY United States",NEW YORK UNIVERSITY,"New York City, NY United States",Online platform transparency project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Wellspring Philanthropic Fund,"New York City, NY United States",Airwars,"Exeter, United Kingdom",Operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,William Penn Foundation,"Philadelphia, PA United States",Wnet,"New York City, NY United States",NJ SPOTLIGHT STORIES ON WATERSHED PROTECTION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $146,500",FISCAL YEAR: 2020,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 4 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Recordings and broadcasts; General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Butte America Foundation,"Butte, MT United States","General Support for serving a rural, low-income population, for the creation of Indigenous audio storytelling, and for work as a convener of regional community radio stations",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $143,500",FISCAL YEAR: 2020,,GRANT DURATION: 1 year and 6 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Fiscal sponsorships; Program support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States","The Gumshoe Group, Llc","Vacaville, CA United States","To support the Gumshoe Group, a fiscally sponsored project of NEO Philanthropy, Inc, to build structural, financial, and legal support for diverse freelance investigative journalists to pursue open records requests to hold institutions, power, and public officials accountable. This project will expand the investigative capacity of freelance journalists who lack resources and incentive to pursue investigations without compensation and the support of major news organizations, building capacity in a growing segment of the journalism sector and new models for collaborative investigative storytelling. Fiscal sponsor: NEO Philanthropy, Inc",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $143,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States","Committee to Protect Journalists, Inc.","New York City, NY United States","Public, societal benefit",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $142,854",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Psi Chi the National Honor Society in Psychology,"Ithaca, NY United States","TO SUPPORT GREATER FREEDOM OF THE PRESS BY PROVIDING DIRECT PRO BONO LEGAL SERVICES TO LOCAL AND REGIONAL JOURNALISTS AND JOURNALISM ORGANIZATIONS IN NEW YORK, PENNSYLVANIA, VERMONT AND OTHER NEARBY STATES.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $142,804",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States","National Public Radio, Inc.","Washington, DC United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $142,316",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Guardian Org Foundation,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $140,000",FISCAL YEAR: 2020,PROGRAM AREA: Independent Journalism Program; Open Society Initiative for Europe,GRANT DURATION: 1 year and 6 months,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Investigate Europe Gemeinnützige Sce Mbh,Germany,to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $140,000",FISCAL YEAR: 2020,PROGRAM AREA: Information Program; International Migration Initiative,GRANT DURATION: 10 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Ethnic and racial groups; Immigrants,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Network-building and collaboration; Program support",TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Immigrant Legal Resource Center,"San Francisco, CA United States",to support the Grantee's project Just Futures Law,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $140,000",FISCAL YEAR: 2020,PROGRAM AREA: Community and Opportunity,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Outreach; Presentations and productions,TRANSACTION TYPE: Cash grants,The Heising-Simons Foundation,"Los Altos, CA United States",KQED Inc.,"San Francisco, CA United States",For a full season of Truth Be Told,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $135,033",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",MARSHALL PROJECT INC,"New York City, NY United States","Public, societal benefit",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $135,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Germeshausen Foundation Inc,"Wayne, PA United States","Grist Magazine, Inc.","Seattle, WA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $135,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Ethnic and racial groups; Students,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Pisces Foundation,"San Francisco, CA United States",BSCS Science Learning,"Colorado Springs, CO United States",To support a platform for citizen science data collection and analysis.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $133,434",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Open government; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Centro De Periodismo Investigativo Inc,"San Juan, Puerto Rico",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $132,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Open government; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People with disabilities,"SUPPORT STRATEGY: Fellowships; Information technology; Online media; Pilot programs; Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,Disability Rights Fund Inc.,"Boston, MA United States",Disability Justice Project,United States,"To establish the Disability Justice Project, a pilot fellowship program that will support persons with disabilities in becoming participatory journalists in order to create a global grassroots media network that will center the voices of persons with disabilities.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $131,750",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Austin Community Foundation,"Austin, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $130,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Equal access; Program support,TRANSACTION TYPE: Cash grants,Luminate Foundation Inc,"Washington, DC United States",Associacao Brasileira de Jornalismo Investigativo,"São Paulo, Brazil",Support to imporove Brazilian journalism and defending freedom of expression.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $130,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",The Center for Michigan,"Ypsilanti, MI United States","(A) = $100,000, (F) = $25,000, (M) = $5,000",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $129,742",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Trellis Foundation,"Round Rock, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $128,994",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,William Penn Foundation,"Philadelphia, PA United States",WHYY INC,"Philadelphia, PA United States",2019 WATERSHED NEWS STORIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $128,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Outreach; General support,TRANSACTION TYPE: Cash grants,Robert R Mccormick Foundation,"Chicago, IL United States",Chicago Public Media Inc,"Chicago, IL United States",FOR MATCHING GRANT FOR EMERGENCY COVID-19 PLEDGE DRIVE; AND DEEPENING CIVIC ENGAGEMENT AND UNDERSTANDING VIA GOVERNMENT & POLITICS JOURNALISM; REACHING NEW AUDIENCES AND APPROACHES TO PUBLIC-POWERED JOURNALISM; AND GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $127,500",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States","Public, societal benefit",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $127,350",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Denver Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $126,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,American Endowment Foundation,"Hudson, OH United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",PROGRAMS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support; Advocacy,TRANSACTION TYPE: Cash grants,Alphawood Foundation,"Chicago, IL United States",Invisible Institute,"Chicago, IL United States",General support for advocacy activities,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: Earned income; Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,American Journalism Project Inc,"Washington, DC United States","The GroundTruth Project, Inc.","Boston, MA United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Dow Jones Foundation,"New York City, NY United States",Online News Association,"Washington, DC United States",Inspiring innovation and excellence among digital journalists to better serve the public.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,PROGRAM AREA: Independent Journalism Program,GRANT DURATION: 1 year and 6 months,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Disclose,"Le Pré-Saint-Gervais, France",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Veterans,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",Military Veterans in Journalism Inc,"Silver Spring, MD United States","TO PROMOTE DIVERSITY AND EXCELLENCE IN THE FIELD BY SUPPORTING MILITARY VETERANS IN JOURNALISM, A NEW ORGANIZATION FOCUSED ON GETTING MORE U.S. MILITARY VETERANS WORKING AS JOURNALISTS.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Capacity-building and technical assistance; General support,TRANSACTION TYPE: Cash grants,Jonathan Logan Family Foundation,"Berkeley, CA United States",Invisible Institute,"Chicago, IL United States",ORGANIZATIONAL DEVELOPMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Journalism education",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Fellowships,TRANSACTION TYPE: Cash grants,Lannan Foundation,"Santa Fe, NM United States",Foundation for National Progress,"San Francisco, CA United States",MOTHER JONES - BEN BAGDIKIAN FELLOWSHIP PROGRAM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,PROGRAM AREA: Independent Journalism Program,GRANT DURATION: 6 months,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Victims and oppressed people,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Open Society Institute,"New York City, NY United States",Guardian.Org Foundation,"Washington, United States",to support in-depth reporting and to raise public awareness of harms related to AI and automated decisions during the Coronavirus pandemic,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Park Foundation Inc,"Ithaca, NY United States","PRO Publica, Inc.","New York City, NY United States",Media - General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Public Health Fund,"Philadelphia, PA United States",WHYY INC,"Philadelphia, PA United States",Health and science reporting,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups; Social and economic status; Work status and occupations,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Richard King Mellon Foundation,"Ligonier, PA United States",Pittsburgh Community Broadcasting - 91.3 WYEP and 90.5 WESA,"Pittsburgh, PA United States",TO DEVELOP JOURNALISM AROUND AN ASSESSMENT OF THE REGIONAL ECONOMIC IMPACT OF THE COVID-19 PANDEMIC AND THE SUCCESS OF RECOVERY EFFORTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Recordings and broadcasts; Program support; Public engagement and education; Publications,TRANSACTION TYPE: Cash grants,ROSE COMMUNITY FOUNDATION,"Denver, CO United States",Free Press,"Washington, DC United States",News Voices: Colorado Year One,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,PROGRAM AREA: Film & Video,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",International Documentary Association,"Los Angeles, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Research",TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",TRACE MEDIA INC,"Brooklyn, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Ethnic and racial groups; Low-income people; Students,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Caswell Jin Foundation,"Wilmington, DE United States",Civic News Company,"New York City, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Trustees of Boston University,"Boston, MA United States","Core support for the Center for Antiracist Research, including their work on the Covid-19 Racial Data Tracker",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",Publicsource,"Pittsburgh, PA United States","(A) = $100,000, (D) = $25,000",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $125,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Peter and Carmen Lucia Buck Foundation Inc,"New York City, NY United States","PRO Publica, Inc.","New York City, NY United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
