amount,year,area,duration,title,subject,population,strategy,transaction
"TOTAL AMOUNT:  $200,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $195,000",FISCAL YEAR: 2024,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Women and girls,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $185,000",FISCAL YEAR: 2024,PROGRAM AREA: Field Support and Development,GRANT DURATION: 1 year,GRANT TITLE: Developing Quality Postsecondary Education Reporting,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Network-building and collaboration,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $180,000",FISCAL YEAR: 2024,PROGRAM AREA: Public Educational Media,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups; Economically disadvantaged people; Incarcerated people,"SUPPORT STRATEGY: Public engagement and education; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $175,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year,GRANT TITLE: Promoting healing through teaching and researching social justice initiatives -- University of Missouri,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $175,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $173,780",FISCAL YEAR: 2024,,GRANT DURATION: 7 months,GRANT TITLE: Supporting an Antiracist Community Development Reporting Fellowship within the National Press Foundation to enrich reporting on this topic,"SUBJECT:Journalism, news and information; Investigative journalism; Advocacy journalism; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Fellowships,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $170,000",FISCAL YEAR: 2024,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $166,000",FISCAL YEAR: 2024,PROGRAM AREA: Science / Projects,GRANT DURATION: 10 months,GRANT TITLE: Public Engagement and Open Science Fellow,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Researchers,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $160,000",FISCAL YEAR: 2024,,GRANT DURATION: 2 years,GRANT TITLE: General Operating Support,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,,GRANT DURATION: 3 years,GRANT TITLE: Increasing Health Outcomes by Reporting on Justice Reform Issues,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,,GRANT DURATION: 3 years,GRANT TITLE: Expanding Racial and Health Equity in Media Reports,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Incarcerated people,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year and 1 month,GRANT TITLE: Supporting the senior health editor role at The Journalist's Resource,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,PROGRAM AREA: Public and Societal Benefit,GRANT DURATION: 1 year and 1 month,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: American Indians; Alaskan Natives,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 2 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: American Indians; Alaskan Natives,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $150,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
