Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets,State_abbr,efile,ein,tax_pd,subseccd,s501c3or4947a1cd,schdbind,politicalactvtscd,lbbyingactvtscd,subjto6033cd,dnradvisedfundscd,prptyintrcvdcd,maintwrkofartcd,crcounselingqstncd,hldassetsintermpermcd,rptlndbldgeqptcd,rptinvstothsecd,rptinvstprgrelcd,rptothasstcd,rptothliabcd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,inclinfinstmtcd,operateschools170cd,frgnofficecd,frgnrevexpnscd,frgngrntscd,frgnaggragrntscd,rptprofndrsngfeescd,rptincfnndrsngcd,rptincgamingcd,operatehosptlcd,hospaudfinstmtcd,rptgrntstogovtcd,rptgrntstoindvcd,rptyestocompnstncd,txexmptbndcd,invstproceedscd,maintescrwaccntcd,actonbehalfcd,engageexcessbnftcd,awarexcessbnftcd,loantofficercd,grantoofficercd,dirbusnreltdcd,fmlybusnreltdcd,servasofficercd,recvnoncashcd,recvartcd,ceaseoperationscd,sellorexchcd,ownsepentcd,reltdorgcd,intincntrlcd,orgtrnsfrcd,conduct5percentcd,compltschocd,f1096cnt,fw2gcnt,wthldngrulescd,noemplyeesw3cnt,filerqrdrtnscd,unrelbusinccd,filedf990tcd,frgnacctcd,prohibtdtxshltrcd,prtynotifyorgcd,filedf8886tcd,solicitcntrbcd,exprstmntcd,providegoodscd,notfydnrvalcd,filedf8282cd,f8282cnt,fndsrcvdcd,premiumspaidcd,filedf8899cd,filedf1098ccd,excbushldngscd,s4966distribcd,distribtodonorcd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,filedlieuf1041cd,txexmptint,qualhlthplncd,qualhlthreqmntn,qualhlthonhnd,rcvdpdtngcd,filedf720cd,totreprtabled,totcomprelatede,totestcompf,noindiv100kcnt,nocontractor100kcnt,totcntrbgfts,prgmservcode2acd,totrev2acola,prgmservcode2bcd,totrev2bcola,prgmservcode2ccd,totrev2ccola,prgmservcode2dcd,totrev2dcola,prgmservcode2ecd,totrev2ecola,totrev2fcola,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrev11acd,miscrevtota,miscrev11bcd,miscrevtot11b,miscrev11ccd,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,currfrmrcvblend,rcvbldisqualend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,paybletoffcrsend,secrdmrtgsend,unsecurednotesend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,capitalstktrstend,paidinsurplusend,retainedearnend,totnetassetend,totnetliabastend,nonpfrea,totnooforgscnt,totsupport,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,pubsuppsubtot170,exceeds2pct170,pubsupplesspct170,samepubsuppsubtot170,grsinc170,netincunreltd170,othrinc170,totsupp170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,grsrcptsactivities509,txrevnuelevied509,srvcsval509,pubsuppsubtot509,rcvdfrmdisqualsub509,exceeds1pct509,subtotpub509,pubsupplesub509,samepubsuppsubtot509,grsinc509,unreltxincls511tx509,subtotsuppinc509,netincunrelatd509,othrinc509,totsupp509
June Foundation,954745292,RFA Community News Funds,,"CA, Los Angeles",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Charitable Fund,516520185,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The KLEO Foundation,912006733,RFA Community News Funds,https://kleofoundation.org,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie A. Richmond Foundation,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wiesinger Andrews Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Holloway Family Foundation,387188734,RFA Community News Funds,https://hollowayfamilyfoundation.org,"CA, Berkeley",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May Family Foundation,264308853,RFA Community News Funds,https://www.mayfamilyfoundation.com,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connell Donor Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayes Giving Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett/Walker Charitable Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker Bevan Giving Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Family Foundation,205007846,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Band Foundation,461588731,RFA Community News Funds,https://bandfdn.org,,CHECK THAT IT'S PLACE-BASED,,,,2023.0,"42,888","170,313","-127,425",Dividends,1,Interest Revenue,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus Foundation,261812101,RFA Community News Funds,,"VA,Middleburg",CHECK THAT IT'S PLACE-BASED,,,,2022.0,"1,200,673","3,035,456","-1,834,783",Dividends,0.581,Contributions Received,0.416,Sales of Assets,0.002,,,Charitable Disbursements,0.972,Compensation of Officers,0.025,"25,202,993","1,728","25,201,265",VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Trust Charitable Giving Foundation,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATH Foundation,581949696,RFA Community News Funds,https://www.pathfoundation.org,"GA, Atlanta",CHECK THAT IT'S PLACE-BASED,,,,2024.0,"21,953,168","14,299,177","7,653,991",Contributions,0.87,Program Services,0.127,Investment Income,0.002,Other Revenue,<.01,Executive Compensation,0.059,Other Salaries and Wages,0.01,"16,524,737","1,662,430","14,862,307",GA,E,581949696.0,202303.0,3.0,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,15.0,0.0,N,5.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,981532.0,0.0,0.0,4.0,0.0,2058261.0,541300,7266402.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,7266402.0,20272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,9344935.0,0.0,0.0,0.0,0.0,1184664.0,0.0,0.0,0.0,58667.0,56944.0,66014.0,0.0,0.0,0.0,0.0,18683.0,35585.0,14304.0,28797.0,0.0,0.0,0.0,16590.0,0.0,0.0,0.0,0.0,8319.0,134822.0,7382054.0,42163.0,36961.0,6296.0,0.0,7080.0,9097943.0,0.0,5115832.0,2745879.0,0.0,0.0,0.0,0.0,0.0,34914.0,16830.0,827101.0,0.0,0.0,0.0,0.0,8740556.0,1662764.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1672764.0,6283723.0,784069.0,0.0,0.0,0.0,0.0,7067792.0,8740556.0,7,0.0,0.0,40846812.0,0.0,0.0,40846812.0,0.0,40846812.0,40846812.0,137615.0,0.0,100.0,40984527.0,11930560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lykes Estate Fund,,RFA Community News Funds,,,CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Raines Family Fund,,RFA Community News Funds,https://www.racf.org/fund/raines-family-fund/,"NY, Rochester",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Foundation for Communities and the Environment,943179772,RFA Community News Funds,https://rosefdn.org,"CA, Oakland",CHECK THAT IT'S PLACE-BASED,,,,2022.0,"5,938,485","7,391,905","-1,453,420",Contributions,0.962,Investment Income,0.036,Net Fundraising,0.002,,,Executive Compensation,0.028,Other Salaries and Wages,0.126,"28,969,524","25,735,702","3,233,822",CA,E,943179772.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,32.0,0.0,Y,39.0,Y,N,N,N,N,N,N,Y,Y,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,206066.0,0.0,36778.0,1.0,0.0,5711882.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,213849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28678.0,15924.0,12754.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,5938485.0,5561151.0,0.0,0.0,0.0,206065.0,0.0,930253.0,0.0,165822.0,93354.0,0.0,0.0,0.0,0.0,0.0,16587.0,144031.0,0.0,34052.0,6958.0,0.0,128846.0,19305.0,0.0,0.0,0.0,0.0,18504.0,5300.0,17178.0,13255.0,9775.0,8852.0,0.0,12617.0,7391905.0,20343657.0,0.0,105171.0,0.0,0.0,0.0,0.0,0.0,19310.0,0.0,7517906.0,369412.0,0.0,0.0,614068.0,28969524.0,16923.0,2450755.0,22559491.0,0.0,0.0,0.0,0.0,0.0,708533.0,25735702.0,-274879.0,3508701.0,0.0,0.0,0.0,0.0,3233822.0,28969524.0,7,0.0,0.0,30178397.0,0.0,0.0,30178397.0,2566788.0,27611609.0,30178397.0,1123353.0,45219.0,0.0,31346969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The James Irvine Foundation,941236937,RFA Community News Funds,https://www.irvine.org,"CA, San Francisco",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rappaport Family Foundation,742872414,RFA Community News Funds,https://www.rapoportfamilyfoundation.com,"TX, WACO",CHECK THAT IT'S PLACE-BASED,,,,2022.0,"165,118","697,521","-532,403",Dividends,>1,Contributions Received,0.224,Interest Revenue,0.001,,,Charitable Disbursements,0.875,,,"11,781,977",0,"11,781,977",TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Valey Community Foundation,205205488,RFA Community News Funds,https://www.siliconvalleycf.org,"CA, Mountain View",CHECK THAT IT'S PLACE-BASED,,,,2022.0,"3,015,340,623","4,236,289,536","-1,220,948,913",Contributions,0.823,Sales of Assets,0.141,Investment Income,0.035,Program Services,0.001,Other Revenue,<.01,Executive Compensation,0.001,"10,982,029,914","880,423,937","10,101,605,977",CA,E,205205488.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,83.0,0.0,Y,137.0,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,33.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,4170952.0,0.0,456103.0,58.0,26.0,2482642797.0,900099,2211400.0,540000,830345.0,900099,32489.0,      ,0.0,      ,0.0,0.0,3074234.0,104365415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17424350609.0,0.0,16999097168.0,0.0,425253441.0,0.0,425253441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523000,4736.0,      ,0.0,      ,0.0,0.0,4736.0,3015340623.0,3626886828.0,0.0,543269717.0,0.0,3266481.0,0.0,12523524.0,1036627.0,1939184.0,963050.0,0.0,303182.0,554045.0,90000.0,0.0,27303915.0,3792724.0,1344214.0,84361.0,6211344.0,0.0,3591774.0,73208.0,0.0,185977.0,0.0,0.0,280192.0,442715.0,585073.0,618437.0,589070.0,120148.0,0.0,233746.0,4236289536.0,5000.0,85650150.0,6708513.0,282069.0,401363.0,0.0,0.0,0.0,534284.0,6979149.0,5938625209.0,4931404326.0,9023723.0,0.0,2416128.0,10982029914.0,3183958.0,847059470.0,0.0,0.0,12773928.0,0.0,0.0,0.0,17406581.0,880423937.0,9787892018.0,313713959.0,0.0,0.0,0.0,0.0,10101605977.0,10982029914.0,7,0.0,0.0,11817438285.0,0.0,0.0,11817438285.0,2878620792.0,8938817493.0,11817438285.0,490284114.0,1009319.0,44192.0,12308775910.0,11767634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atwood Foundation,926002571,Press Forward,https://atwoodfoundation.org,"Alaska, Anchorage",,,,,2018.0,"983,208","4,649,305","-3,666,097",Sales of Assets,0.936,Dividends,0.04,Interest Revenue,0.024,,,Charitable Disbursements,0.992,,,0,0,0,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachia Funders Network,,Press Forward,https://www.appalachiafunders.org,Central Appalachia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Steinman Foundation,236266377,Press Forward,https://steinmanfoundation.org,Central Pennsylvania,,,,,2023.0,"2,129,467","10,622,330","-8,492,863",Dividends,>1,,,,,,,Charitable Disbursements,0.94,Compensation of Officers,0.003,"85,184,847","91,113","85,093,734",PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
