Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets,State_abbr
The Carter Center,581454716,Arizona Center for Investigative Reporting,https://www.cartercenter.org,,,,,,2023.0,"153,773,756","148,740,967","5,032,789",Contributions,0.742,Investment Income,0.256,Other Revenue,0.002,,,Other Salaries and Wages,0.273,Executive Compensation,0.019,"1,153,764,230","25,680,885","1,128,083,345",
Murray & Dottie Goodman Family Foundation,942851587,Arizona Center for Investigative Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert R. Woodruff Foundation,,Atlantic Civic Circle,https://woodruff.org,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew W. Mellon Foundation,131879954,Atlantic Civic Circle,https://www.mellon.org,,,,,,2022.0,"320,667,704","688,730,792","-368,063,088",Sales of Assets,0.931,Dividends,0.069,Interest Revenue,<.01,Other Income,<.01,Charitable Disbursements,0.814,Compensation of Officers,0.012,"8,189,888,621","677,681,296","7,512,207,325",
The Community Foundation for Greater Atlanta,581344646,Atlantic Civic Circle,https://cfgreateratlanta.org,,,,,,2022.0,"170,621,384","207,338,080","-36,716,696",Contributions,0.698,Sales of Assets,0.194,Investment Income,0.1,Program Services,0.008,Other Salaries and Wages,0.022,Executive Compensation,0.007,"1,082,753,744","55,719,497","1,027,034,247",
Arthur M. Blank Family Foundation*,383983213,Atlantic Civic Circle,https://blankfoundation.org,,,,,,2022.0,"105,332,175","85,235,512","20,096,663",Contributions,0.952,Sales of Assets,0.036,Dividends,0.012,,,Charitable Disbursements,1,Compensation of Officers,0.013,"350,993,140","299,866,447","51,126,693",
Catena Foundation,813783868,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynda and Stewart Resnick Foundation,922289753,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ridgeway Holmstrom Family Fund,,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Community Foundation (Colorado Media Project),,Aspen Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
California Health Equity Impact Fund,,Center for Health Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakima Valley Community Foundation,200697012,RFA Community News Funds,https://yakimavalleycf.org,Washington,"HOSTS FUND, PROBABLY IS NOT A DONOR",,,,2022.0,"3,114,851","5,272,805","-2,157,954",Contributions,1,Investment Income,0.494,Program Services,0.191,,,Other Salaries and Wages,0.107,Executive Compensation,0.068,"74,629,187","6,648,713","67,980,474",WA
Community Foundation for Greater Atlanta,581344646,RFA Community News Funds,https://cfgreateratlanta.org,Georgia,"HOSTS FUND, PROBABLY IS NOT A DONOR",,,,2022.0,"170,621,384","207,338,080","-36,716,696",Contributions,0.698,Sales of Assets,0.194,Investment Income,0.1,Program Services,0.008,Other Salaries and Wages,0.022,Executive Compensation,0.007,"1,082,753,744","55,719,497","1,027,034,247",GA
